MJD,HA,VisRatio,PhaseDiff
59871.193,-3.0308809,0.828185,-24.2465
59871.194,-3.0208535,0.806495,-24.3159
59871.194,-3.011662,0.816427,-23.8526
59871.194,-3.0016344,0.813073,-23.0605
59871.195,-2.9924428,0.808419,-22.0982
59871.195,-2.9824152,0.834542,-23.0958
59871.196,-2.9732237,0.812157,-22.3138
59871.196,-2.9640319,0.8229,-22.6371
59871.196,-2.9540045,0.81878,-23.1043
59871.197,-2.9448128,0.810905,-22.7352
59871.204,-2.7827036,0.815355,-21.6536
59871.204,-2.7726765,0.81258,-22.3606
59871.204,-2.7634845,0.81381,-21.8304
59871.205,-2.7534573,0.813441,-21.5513
59871.205,-2.7442653,0.795474,-23.0044
59871.207,-2.6991422,0.82081,-21.8134
59871.207,-2.689115,0.789011,-21.6688
59871.208,-2.6799231,0.813232,-21.764
59871.208,-2.6698959,0.818545,-21.4511
59871.209,-2.6607039,0.817311,-21.9478
59871.209,-2.6515124,0.822833,-21.0796
59871.209,-2.641485,0.81604,-20.9652
59871.21,-2.6322932,0.836115,-21.7122
59871.21,-2.6222661,0.826761,-21.8971
59871.211,-2.6130738,0.821962,-20.809
59871.211,-2.6030467,0.816491,-22.6522
59871.211,-2.5938549,0.827033,-22.3243
59871.212,-2.5846629,0.813076,-22.3796
59871.212,-2.5746357,0.816767,-22.0668
59871.213,-2.5654438,0.817032,-21.4761
59871.213,-2.5554166,0.809245,-21.2216
59871.213,-2.5462251,0.81465,-22.8915
59871.214,-2.5361974,0.809713,-21.7292
59871.214,-2.5219922,0.814716,-22.9179
59871.215,-2.5128002,0.813555,-22.1164
59871.215,-2.5036087,0.822401,-22.3689
59871.216,-2.4935811,0.823808,-19.331
59871.216,-2.4843895,0.813911,-22.2868
59871.216,-2.4743624,0.808223,-22.0983
59871.217,-2.4651704,0.804958,-21.2503
59871.217,-2.4551432,0.814704,-22.4466
59871.218,-2.4459512,0.830199,-22.1188
59871.218,-2.4367595,0.824641,-22.2342
59871.218,-2.4267323,0.821407,-21.5463
59871.219,-2.4175403,0.82608,-21.941
59871.219,-2.4083488,0.822939,-23.2661
59871.22,-2.3983209,0.825282,-22.9481
59871.22,-2.3882937,0.815675,-21.2405
59871.22,-2.3791025,0.817906,-21.8285
59871.221,-2.3699105,0.836398,-22.4368
59871.221,-2.3598831,0.823037,-21.6641
59871.222,-2.3431704,0.79883,-21.5562
59871.222,-2.3339789,0.808175,-20.6118
59871.223,-2.3239517,0.817851,-21.2299
59871.223,-2.3147597,0.828823,-22.6042
59871.223,-2.305568,0.810459,-21.0162
59871.224,-2.2955406,0.808465,-23.1343
59871.224,-2.2863488,0.814973,-21.1332
59871.225,-2.2763216,0.819952,-22.0368
59871.225,-2.2671297,0.827297,-20.5754
59871.225,-2.2571025,0.822619,-21.1461
59871.226,-2.2479105,0.82886,-21.2033
59871.226,-2.238719,0.823785,-21.7324
59871.227,-2.2286918,0.833578,-22.1382
59871.227,-2.2194998,0.819887,-21.1165
59871.227,-2.2094727,0.829334,-22.3948
59871.25,-1.6596383,0.807523,-24.3815
59871.251,-1.6504467,0.791457,-24.2413
59871.251,-1.6404191,0.801913,-23.6805
59871.251,-1.6312275,0.822969,-24.1389
59871.252,-1.6220356,0.821675,-24.1647
59871.252,-1.6120083,0.831544,-23.887
59871.253,-1.6028167,0.80426,-23.6073
59871.255,-1.5551866,0.807716,-23.6155
59871.255,-1.5451591,0.747968,-24.4551
59871.257,-1.4883375,0.826959,-24.2543
59871.258,-1.47831,0.797508,-23.5105
59871.258,-1.4691184,0.809505,-24.3393
59871.259,-1.4590908,0.812021,-24.0375
59871.259,-1.4498992,0.817894,-23.6618
59871.259,-1.4407076,0.780993,-23.1068
59871.26,-1.4306799,0.772994,-23.9759
59871.26,-1.4214883,0.802252,-24.103
59871.261,-1.4114608,0.811673,-23.3231
59871.261,-1.4022691,0.834435,-23.8825
59871.261,-1.3922417,0.829219,-23.7315
59871.262,-1.38305,0.836673,-22.4555
59871.264,-1.3320774,0.81971,-25.093
59871.264,-1.3220502,0.81851,-24.9161
59871.265,-1.3128583,0.821092,-25.3078
59871.265,-1.3028311,0.827017,-24.4342
59871.265,-1.2936392,0.825475,-24.5489
59871.266,-1.2844474,0.847197,-24.9201
59871.266,-1.27442,0.841506,-24.5682
59871.267,-1.2652284,0.843385,-24.5585
59871.267,-1.2552011,0.858271,-25.2534
59871.267,-1.2460092,0.835702,-24.6432
59871.268,-1.2359819,0.861378,-23.4951
59871.268,-1.2267901,0.831932,-24.8792
59871.269,-1.2175983,0.85888,-25.0845
59871.269,-1.2075711,0.843697,-24.1259
59871.269,-1.1983793,0.841531,-24.4336
59871.27,-1.188352,0.829802,-23.7378
59871.27,-1.17916,0.835249,-24.6316
59871.27,-1.1699682,0.824216,-26.6119
59871.279,-0.97527027,0.780551,-23.1736
59871.279,-0.96524274,0.807028,-26.2486
59871.279,-0.95605111,0.815433,-24.9969
59871.28,-0.94685918,0.797072,-24.1843
59871.28,-0.93683195,0.816204,-24.6334
59871.281,-0.92764032,0.80065,-25.1556
59871.281,-0.91761279,0.822012,-25.2843
59871.281,-0.9084211,0.814059,-25.99
59871.282,-0.89839363,0.788762,-25.6047
59871.282,-0.88920194,0.813878,-25.2796
59871.283,-0.88001001,0.825215,-24.5515
59871.283,-0.86998278,0.821656,-25.8641
59871.283,-0.86079115,0.824633,-25.0803
59871.284,-0.85076362,0.819518,-25.7642
59871.284,-0.84157193,0.835327,-26.1433
59871.285,-0.83238,0.849648,-25.1406
59871.285,-0.82235277,0.820784,-26.0125
59871.285,-0.81316084,0.83171,-25.6
59871.286,-0.79728419,0.836496,-25.4621
59871.286,-0.78809255,0.819794,-25.8687
59871.287,-0.77806526,0.825356,-26.943
59871.287,-0.76887333,0.822111,-24.8116
59871.288,-0.7588461,0.820679,-24.5506
59871.288,-0.74965417,0.840554,-26.2016
59871.288,-0.74046254,0.811861,-26.3101
59871.289,-0.73043495,0.809056,-26.8324
59871.289,-0.72124332,0.820794,-25.7086
59871.29,-0.71121609,0.829404,-26.7152
59871.29,-0.70202416,0.812543,-27.4334
59871.29,-0.69199693,0.820455,-27.1721
59871.291,-0.682805,0.83142,-27.012
59871.291,-0.67361337,0.817362,-28.2389
59871.292,-0.66358578,0.828695,-26.7072
59871.292,-0.65439415,0.8217,-28.203
59871.292,-0.64436692,0.817462,-27.7085
59871.293,-0.63517499,0.8157,-28.2048
59871.293,-0.62598336,0.815187,-26.7427
59871.294,-0.61595583,0.794737,-28.0915
59871.294,-0.6067642,0.824131,-27.5252
59871.294,-0.59673667,0.810062,-27.7757
59871.295,-0.58754498,0.797545,-27.6869
59871.295,-0.57751775,0.805071,-28.6653
59871.296,-0.56832582,0.801579,-28.9972
59871.296,-0.55913419,0.806898,-28.65
59871.296,-0.54910672,0.824948,-28.7241
59871.297,-0.53991503,0.816665,-29.7826
59871.297,-0.5298875,0.813183,-30.0078
59871.298,-0.52069581,0.819429,-30.4323
59871.298,-0.51066834,0.801246,-29.6987
59871.298,-0.50147665,0.792679,-29.6699
59871.299,-0.49228498,0.837937,-29.6224
59871.299,-0.48225752,0.810813,-30.5722
59871.3,-0.47306582,0.812462,-30.3049
59871.314,-0.13046388,0.758882,-42.838
59871.314,-0.12127195,0.762254,-44.0411
59871.315,-0.11124472,0.738197,-44.3459
59871.315,-0.10205278,0.762657,-44.9483
59871.315,-0.092025556,0.745545,-45.806
59871.316,-0.082833618,0.755808,-47.0254
59871.316,-0.073641948,0.768039,-46.0887
59871.317,-0.063614726,0.762128,-46.3722
59871.317,-0.054422777,0.760294,-46.7278
59871.317,-0.044395559,0.756,-47.081
59871.318,-0.035203613,0.750847,-47.321
59871.318,-0.025176391,0.76869,-48.9631
59871.319,-0.015984444,0.759581,-48.2412
59871.319,-0.006792778,0.770129,-47.8638
59871.319,0.003234722,0.752481,-49.7259
59871.32,0.012426389,0.74341,-50.3066
59871.32,0.022453612,0.741631,-50.3701
59871.321,0.031645555,0.748431,-51.7088
59871.321,0.040837225,0.766834,-52.1723
59871.321,0.050864723,0.743778,-51.7527
59871.322,0.060056388,0.710404,-51.5451
59871.322,0.070083894,0.703658,-51.1578
59871.322,0.079275556,0.736251,-52.6737
59871.323,0.089303061,0.730701,-52.4508
59871.323,0.098494723,0.750649,-52.0071
59871.324,0.10768639,0.759418,-52.1661
59871.324,0.11771389,0.749499,-53.9852
59871.324,0.12690556,0.707358,-54.0276
