MJD, HA, BASELINE, VisRatio_normed, visratio_normed_err, visratio_raw, visratio_raw_error, PhaseDiff, Phase_err, Tel1_ratio,tel1_ratio_err,tel2_ratio,tel2_ratio_err, snr12, vis2_1,vis2_2 
 59871.1940591471429798 , -3.0116620063781738 , 2 , 0.9453948 , 0.0088215 , 0.8038114 , 0.0091004 , -24.0664845 , 0.4127171455500159 , 0.8357165 , 0.0017115 , 0.8627451 , 0.0038721 , 250.4730835 , 4.4875011 , 6.4040298
 59871.1960418827657122 , -2.9640319347381592 , 2 , 0.9366005 , 0.0222225 , 0.7965963 , 0.0194783 , -24.5904160 , 0.3958291812437479 , 0.8401037 , 0.0037451 , 0.8606176 , 0.0031655 , 179.0579681 , 3.8938735 , 5.6638603
 59871.2043693072337192 , -2.7634844779968262 , 2 , 0.9286193 , 0.0319561 , 0.7861063 , 0.0287315 , -24.4254532 , 1.0066757075023451 , 0.8414676 , 0.0127638 , 0.8514674 , 0.0045115 , 91.0090408 , 1.3728186 , 2.1921716
 59871.2086321729511837 , -2.6607038974761963 , 2 , 0.9294865 , 0.0211983 , 0.7907882 , 0.0168504 , -24.7021275 , 0.3940121169242921 , 0.8491803 , 0.0031099 , 0.8530242 , 0.0021395 , 118.1052704 , 2.7630863 , 4.1063867
 59871.2122010827806662 , -2.5746357440948486 , 2 , 0.9286361 , 0.0204658 , 0.7921585 , 0.0166773 , -24.8276176 , 0.2640155842345729 , 0.8512333 , 0.0025504 , 0.8555447 , 0.0048328 , 149.7458191 , 2.7851121 , 4.1486325
 59871.2159682238634559 , -2.4843895435333252 , 2 , 0.9399539 , 0.0149983 , 0.8005000 , 0.0129014 , -24.8376694 , 0.2727280845952260 , 0.8555497 , 0.0029215 , 0.8480859 , 0.0020264 , 108.1160278 , 2.1024673 , 3.2078748
 59871.2195371546331444 , -2.3983209133148193 , 2 , 0.9242980 , 0.0236478 , 0.7878366 , 0.0216767 , -26.0854893 , 0.2044403486849570 , 0.8598495 , 0.0036102 , 0.8459567 , 0.0040297 , 77.4311829 , 1.1632420 , 1.8579600
 59871.2234034449429600 , -2.3055679798126221 , 2 , 0.9220557 , 0.0178349 , 0.7876452 , 0.0144106 , -25.3261032 , 0.3382973950840026 , 0.8634818 , 0.0029367 , 0.8471327 , 0.0031731 , 61.9362755 , 1.0897053 , 1.6216594
 59871.2265757399291033 , -2.2286918163299561 , 2 , 0.9413240 , 0.0245177 , 0.8066261 , 0.0224236 , -25.5700951 , 0.4393394881922065 , 0.8653049 , 0.0034203 , 0.8481972 , 0.0067297 , 83.6773148 , 1.1209419 , 1.6735440
 59871.2601334000137285 , -1.4214882850646973 , 2 , 0.8921871 , 0.0235328 , 0.7839505 , 0.0216580 , -26.4844112 , 0.2403063580027480 , 0.8707572 , 0.0030362 , 0.8787118 , 0.0027676 , 57.7832451 , 1.4440708 , 2.0172150
 59871.2654371216704021 , -1.2936391830444336 , 2 , 0.9207239 , 0.0252432 , 0.8078852 , 0.0224034 , -27.2129116 , 0.2383376909591885 , 0.8644060 , 0.0022465 , 0.8853177 , 0.0025292 , 52.2712364 , 1.5242834 , 2.1277440
