MJD, HA, BASELINE, VisRatio_normed, visratio_normed_err, visratio_raw, visratio_raw_error, PhaseDiff, Phase_err, Tel1_ratio,tel1_ratio_err,tel2_ratio,tel2_ratio_err, snr12, vis2_1,vis2_2 
 59871.1940591471429798 , -3.0116620063781738 , 6 , 0.9309926 , 0.0111801 , 0.8130727 , 0.0085746 , -23.8526192 , 0.4679994845382393 , 0.8824641 , 0.0026146 , 0.8627451 , 0.0038721 , 452.4968262 , 10.1908789 , 14.7697458
 59871.1960418827657122 , -2.9640319347381592 , 6 , 0.9397438 , 0.0084198 , 0.8187796 , 0.0095590 , -22.7351532 , 0.1667039047683224 , 0.8811393 , 0.0045066 , 0.8606176 , 0.0031655 , 374.4638367 , 9.7812891 , 14.7445583
 59871.2043693072337192 , -2.7634844779968262 , 6 , 0.9304472 , 0.0106805 , 0.8134414 , 0.0082553 , -21.8304424 , 0.3017475385749964 , 0.8909637 , 0.0043808 , 0.8514674 , 0.0045115 , 422.5282593 , 6.8957987 , 10.0659761
 59871.2086321729511837 , -2.6607038974761963 , 6 , 0.9381624 , 0.0151512 , 0.8185449 , 0.0127655 , -21.7121925 , 0.1246129253686545 , 0.8914344 , 0.0049208 , 0.8530242 , 0.0021395 , 390.2622070 , 8.3914213 , 12.2834711
 59871.2122010827806662 , -2.5746357440948486 , 6 , 0.9342667 , 0.0057018 , 0.8164914 , 0.0056377 , -22.0667744 , 0.2444267490792161 , 0.8904455 , 0.0034378 , 0.8555447 , 0.0048328 , 422.2117004 , 9.2905598 , 13.8476353
 59871.2159682238634559 , -2.4843895435333252 , 6 , 0.9368031 , 0.0083544 , 0.8147038 , 0.0078973 , -22.1187572 , 0.3720150735350218 , 0.8889869 , 0.0051997 , 0.8480859 , 0.0020264 , 395.9609375 , 7.4604349 , 10.8024807
 59871.2195371546331444 , -2.3983209133148193 , 6 , 0.9489700 , 0.0065920 , 0.8230366 , 0.0058581 , -21.9409714 , 0.2351832712370958 , 0.8877873 , 0.0030699 , 0.8459567 , 0.0040297 , 350.4753113 , 5.9447117 , 8.5756159
 59871.2234034449429600 , -2.3055679798126221 , 6 , 0.9421877 , 0.0114699 , 0.8149727 , 0.0096586 , -21.2298527 , 0.3124775222894933 , 0.8894504 , 0.0049038 , 0.8471327 , 0.0031731 , 307.0530701 , 4.5610533 , 7.0080957
 59871.2265757399291033 , -2.2286918163299561 , 6 , 0.9514096 , 0.0047661 , 0.8288602 , 0.0050934 , -21.2032681 , 0.2476430455969249 , 0.8917960 , 0.0039798 , 0.8481972 , 0.0067297 , 416.1926270 , 5.4015174 , 7.9984465
 59871.2514094331054366 , -1.6312274932861328 , 6 , 0.9180018 , 0.0167460 , 0.8075230 , 0.0141339 , -24.1388683 , 0.1199278763761832 , 0.8822502 , 0.0063859 , 0.8775759 , 0.0022233 , 386.7641602 , 11.3760138 , 16.9157352
 59871.2573575592978159 , -1.4883375167846680 , 6 , 0.9127945 , 0.0370134 , 0.8077157 , 0.0336717 , -23.6155205 , 0.2692475556544763 , 0.8970000 , 0.0124410 , 0.8754920 , 0.0059451 , 303.7814026 , 11.5285368 , 18.1654205
 59871.2597368834758527 , -1.4306799173355103 , 6 , 0.9221307 , 0.0230533 , 0.8116726 , 0.0202071 , -23.8824635 , 0.1374051999414742 , 0.8859510 , 0.0033767 , 0.8765612 , 0.0027972 , 366.0458069 , 12.5149765 , 18.9642391
 59871.2642475581014878 , -1.3220502138137817 , 6 , 0.9170902 , 0.0155967 , 0.8210922 , 0.0074984 , -24.9161186 , 0.5779545280332236 , 0.9011429 , 0.0142374 , 0.8853177 , 0.0036894 , 268.8797913 , 7.3629041 , 10.4854507
 59871.2670233218304929 , -1.2552011013031006 , 6 , 0.9428861 , 0.0123570 , 0.8433846 , 0.0127227 , -24.6432266 , 0.1783722098850775 , 0.9072949 , 0.0099702 , 0.8833230 , 0.0022697 , 446.9884338 , 16.2287560 , 23.4273834
 59871.2697990957167349 , -1.1883519887924194 , 6 , 0.9324928 , 0.0080629 , 0.8352491 , 0.0080874 , -24.4336052 , 0.5582383246799461 , 0.9037273 , 0.0059657 , 0.8866840 , 0.0019823 , 400.8173218 , 8.0183735 , 12.3159103
 59871.2802580359784770 , -0.9368319511413574 , 6 , 0.9132744 , 0.0151976 , 0.8070282 , 0.0139286 , -25.1555710 , 0.3339385519693563 , 0.8767206 , 0.0044598 , 0.8931497 , 0.0047836 , 320.7453613 , 7.6162348 , 12.1619682
 59871.2838269646672416 , -0.8507636189460754 , 6 , 0.9332973 , 0.0116655 , 0.8246328 , 0.0106569 , -25.5999565 , 0.1829390726560148 , 0.8703425 , 0.0061905 , 0.8930150 , 0.0044983 , 331.4541321 , 9.2588673 , 13.4833574
