MJD, HA, BASELINE, VisRatio_normed, visratio_normed_err, visratio_raw, visratio_raw_error, PhaseDiff, Phase_err, Tel1_ratio,tel1_ratio_err,tel2_ratio,tel2_ratio_err, snr12, vis2_1,vis2_2 
 59872.2971761475564563 , -0.4641799926757812 , 4 , 0.9604560 , 0.0065632 , 0.8447389 , 0.0050983 , -33.4280243 , 0.1902962158777118 , 0.9003757 , 0.0036117 , 0.8604658 , 0.0033557 , 921.3685913 , 21.1909237 , 31.1333523
 59872.3003484597575152 , -0.3881388902664185 , 4 , 0.9590088 , 0.0089602 , 0.8388321 , 0.0081762 , -32.4548264 , 0.2944358790409198 , 0.8921455 , 0.0045492 , 0.8553296 , 0.0023197 , 537.6919556 , 3.2256293 , 4.5860181
 59872.3039174796140287 , -0.3020705580711365 , 4 , 0.9546234 , 0.0078451 , 0.8316616 , 0.0063796 , -31.7873707 , 0.3065770564999949 , 0.8842323 , 0.0041107 , 0.8548153 , 0.0039926 , 367.1762085 , 5.5723071 , 8.6704874
 59872.3074862226640107 , -0.2160022258758545 , 4 , 0.9482760 , 0.0178800 , 0.8160062 , 0.0184360 , -29.3376083 , 0.3342771087728224 , 0.8759191 , 0.0048475 , 0.8438295 , 0.0079676 , 245.5084381 , 2.7082465 , 4.1289949
 59872.3106586961293942 , -0.1399613916873932 , 4 , 0.9299024 , 0.0115884 , 0.7918679 , 0.0077366 , -27.9372025 , 0.3424360089361026 , 0.8617167 , 0.0080972 , 0.8362334 , 0.0051223 , 381.5423584 , 5.9576111 , 10.4683561
 59872.3166068638165598 , 0.0037644444964826 , 4 , 0.9400754 , 0.0182676 , 0.7523769 , 0.0158540 , -27.0649948 , 0.2097910393669940 , 0.8048050 , 0.0066810 , 0.7970722 , 0.0051347 , 319.8014526 , 5.3305840 , 10.8148689
 59872.3201756944472436 , 0.0898327827453613 , 4 , 0.9398558 , 0.0158541 , 0.7391861 , 0.0105063 , -26.3387890 , 0.2488770415082701 , 0.7955177 , 0.0035753 , 0.7885450 , 0.0111691 , 666.6090698 , 5.4920340 , 10.9113989
 59872.3325180861647823 , 0.3864760994911194 , 4 , 0.9085910 , 0.1268187 , 0.6848111 , 0.0963617 , -29.3328609 , 0.8869240064432131 , 0.7773222 , 0.0051699 , 0.7261589 , 0.0054050 , 132.6619568 , 0.5231487 , 1.1752670
 59872.4968168907071231 , 4.3406095504760742 , 4 , 0.9545184 , 0.0105438 , 0.7550617 , 0.0081861 , -32.9461365 , 0.2423470731558706 , 0.8204744 , 0.0129637 , 0.7684431 , 0.0048438 , 457.4091187 , 3.5007882 , 6.0754299
 59872.5003857715564664 , 4.4266777038574219 , 4 , 0.9397570 , 0.0202321 , 0.7472597 , 0.0211986 , -33.7463799 , 0.3681472086764574 , 0.8277891 , 0.0048293 , 0.7621939 , 0.0109190 , 158.8715820 , 1.5995363 , 2.5618889
 59872.5100515234444174 , 4.6589794158935547 , 4 , 0.8910316 , 0.0778131 , 0.6817416 , 0.0595262 , -33.5481071 , 0.5166000886953541 , 0.8225093 , 0.0041647 , 0.7120318 , 0.0078213 , 50.3752480 , 0.2647825 , 0.5077220
