MJD, HA, BASELINE, VisRatio_normed, visratio_normed_err, visratio_raw, visratio_raw_error, PhaseDiff, Phase_err, Tel1_ratio,tel1_ratio_err,tel2_ratio,tel2_ratio_err, snr12, vis2_1,vis2_2 
 59873.0970953850264777 , -5.2135577201843262 , 13 , 0.9669816 , 0.0181357 , 0.8146003 , 0.0139538 , -12.3828440 , 0.3641704060512241 , 0.8434695 , 0.0021359 , 0.8451751 , 0.0070296 , 141.6080170 , 2.0813837 , 2.9100990
 59873.1006642664942774 , -5.1274900436401367 , 13 , 0.9650964 , 0.0165771 , 0.7989958 , 0.0255770 , -11.6617270 , 0.2561863148810573 , 0.8277083 , 0.0110950 , 0.8346080 , 0.0183339 , 102.5740356 , 1.7159407 , 2.7027864
 59873.1042331984644989 , -5.0414218902587891 , 13 , 0.9701648 , 0.0222480 , 0.8012689 , 0.0193856 , -11.3449364 , 0.4472734677731175 , 0.8308940 , 0.0045281 , 0.8236601 , 0.0056643 , 108.4530334 , 2.2843614 , 3.6689916
 59873.1085951530840248 , -4.9369702339172363 , 13 , 0.9920795 , 0.0235362 , 0.8274689 , 0.0258685 , -11.6261950 , 0.8137989084105349 , 0.8182074 , 0.0032544 , 0.8450861 , 0.0149855 , 45.7379608 , 0.9046220 , 1.2231264
 59873.1109744803325157 , -4.8793129920959473 , 13 , 0.9468607 , 0.0454859 , 0.7838690 , 0.0371120 , -12.5735064 , 0.3712488972534608 , 0.8268255 , 0.0011060 , 0.8290607 , 0.0068937 , 35.3008423 , 0.5363032 , 0.8253956
 59873.1366396395460470 , -4.2617945671081543 , 13 , 0.9499998 , 0.0106871 , 0.9071904 , 0.0118922 , -12.7167578 , 0.3056647806558509 , 0.9482086 , 0.0043323 , 0.9633409 , 0.0068108 , 334.7098389 , 6.7963085 , 7.8213224
 59873.1402086277739727 , -4.1757259368896484 , 13 , 0.9609184 , 0.0109020 , 0.9214497 , 0.0119094 , -12.6926851 , 0.1093792298795994 , 0.9412862 , 0.0034460 , 0.9746368 , 0.0089025 , 156.2260742 , 4.6629658 , 5.4517050
 59873.1547815372759942 , -3.8256042003631592 , 13 , 0.9731669 , 0.0131098 , 0.9260830 , 0.0123053 , -12.7596016 , 0.1938108548728965 , 0.9420167 , 0.0020350 , 0.9545739 , 0.0059693 , 137.8794556 , 4.0365334 , 4.5601964
 59873.1583504606460338 , -3.7395358085632324 , 13 , 0.9663046 , 0.0086584 , 0.9199817 , 0.0091858 , -13.4966450 , 0.2795530777912423 , 0.9420777 , 0.0028998 , 0.9551286 , 0.0056737 , 135.8383942 , 3.2630355 , 3.9364631
 59873.1619192828075029 , -3.6534678936004639 , 13 , 0.9805666 , 0.0259787 , 0.9117234 , 0.0187178 , -14.3009501 , 0.3748379886421867 , 0.9391454 , 0.0040826 , 0.9327341 , 0.0230083 , 86.2931366 , 2.0321777 , 2.1259668
 59873.1654881843278417 , -3.5673992633819580 , 13 , 0.9760010 , 0.0235368 , 0.8957312 , 0.0286875 , -14.6616335 , 0.2946170288799024 , 0.9371104 , 0.0031895 , 0.8962423 , 0.0191034 , 84.1490173 , 1.3000472 , 1.5120341
 59873.1697015266618109 , -3.4662902355194092 , 13 , 0.9574448 , 0.0185416 , 0.9011616 , 0.0195042 , -12.3733664 , 0.3505922744528259 , 0.9510908 , 0.0027768 , 0.9480090 , 0.0113210 , 87.9800797 , 2.7604742 , 3.1906831
 59873.1732704395253677 , -3.3802220821380615 , 13 , 0.9681702 , 0.0228289 , 0.9009337 , 0.0192787 , -13.1790981 , 0.1831024433383912 , 0.9478201 , 0.0037140 , 0.9128266 , 0.0055394 , 71.4463654 , 1.4883475 , 1.9002324
 59873.1842746014081058 , -3.1153323650360107 , 13 , 0.9654784 , 0.0105404 , 0.9142889 , 0.0101999 , -9.4361372 , 0.1095790213972080 , 0.9358685 , 0.0027401 , 0.9596376 , 0.0071261 , 407.5068359 , 12.1566668 , 14.4965334
 59873.1878434000391280 , -3.0292642116546631 , 13 , 0.9763979 , 0.0115279 , 0.9243644 , 0.0132896 , -9.5839920 , 0.1548065990721695 , 0.9326702 , 0.0022336 , 0.9632615 , 0.0092932 , 291.5610657 , 8.5186157 , 9.5948143
 59873.1914123768292484 , -2.9440317153930664 , 13 , 0.9807866 , 0.0094152 , 0.9385062 , 0.0075736 , -9.9464502 , 0.2318100920622963 , 0.9357437 , 0.0025087 , 0.9774711 , 0.0100455 , 194.3627625 , 7.6720948 , 8.6653633
 59873.1949812522507273 , -2.8579633235931396 , 13 , 0.9788863 , 0.0074834 , 0.9378434 , 0.0097133 , -9.8960762 , 0.3429718746799887 , 0.9316132 , 0.0032567 , 0.9798118 , 0.0088427 , 198.0106201 , 7.3390636 , 8.4298754
 59873.1993431949958904 , -2.7526760101318359 , 13 , 0.9684565 , 0.0115154 , 0.9182474 , 0.0085228 , -9.0276995 , 0.3356061363043953 , 0.9538489 , 0.0037203 , 0.9412240 , 0.0069760 , 218.4219971 , 7.0517406 , 8.6035709
 59873.2021189930674154 , -2.6858270168304443 , 13 , 0.9600114 , 0.0168552 , 0.9032604 , 0.0165169 , -8.9014435 , 0.4447341549146280 , 0.9437165 , 0.0031364 , 0.9415728 , 0.0064081 , 241.9412689 , 7.6697140 , 9.5298023
