MJD, HA, BASELINE, VisRatio_normed, visratio_normed_err, visratio_raw, visratio_raw_error, PhaseDiff, Phase_err, Tel1_ratio,tel1_ratio_err,tel2_ratio,tel2_ratio_err, snr12, vis2_1,vis2_2 
 59873.0970953850264777 , -5.2135577201843262 , 12 , 0.9869206 , 0.0046529 , 0.8170261 , 0.0045354 , 7.3440709 , 0.0877088427629922 , 0.8434695 , 0.0021359 , 0.8141556 , 0.0037849 , 3823.9567871 , 53.7912712 , 80.4618378
 59873.1006642664942774 , -5.1274900436401367 , 12 , 0.9871923 , 0.0066093 , 0.8118479 , 0.0084979 , 7.6269388 , 0.1816720100905697 , 0.8277083 , 0.0110950 , 0.8133239 , 0.0056954 , 3852.9055176 , 59.7500572 , 90.3082962
 59873.1042331984644989 , -5.0414218902587891 , 12 , 0.9872715 , 0.0477440 , 0.8132153 , 0.0369867 , 7.1342916 , 1.0252205971379744 , 0.8308940 , 0.0045281 , 0.8205213 , 0.0093130 , 4397.0488281 , 82.2140045 , 123.6664810
 59873.1085951530840248 , -4.9369702339172363 , 12 , 0.9853284 , 0.0088838 , 0.8069746 , 0.0063613 , 6.7122722 , 0.0542460517890517 , 0.8182074 , 0.0032544 , 0.8243982 , 0.0054370 , 2815.4001465 , 61.3971214 , 91.4348984
 59873.1109744803325157 , -4.8793129920959473 , 12 , 0.9863065 , 0.0073703 , 0.8195006 , 0.0072645 , 6.7662625 , 0.1920279201094701 , 0.8268255 , 0.0011060 , 0.8365111 , 0.0022447 , 4782.1967773 , 50.0418091 , 72.0050201
 59873.1366396395460470 , -4.2617945671081543 , 12 , 0.9817548 , 0.0021799 , 0.9155232 , 0.0030719 , 8.3060389 , 0.0901203992098741 , 0.9482086 , 0.0043323 , 0.9175265 , 0.0032417 , 5000.8457031 , 102.5945282 , 117.9106979
 59873.1402086277739727 , -4.1757259368896484 , 12 , 0.9826844 , 0.0043176 , 0.9155915 , 0.0043010 , 8.5313377 , 0.0775456254520559 , 0.9412862 , 0.0034460 , 0.9181337 , 0.0040366 , 3692.7949219 , 92.1280670 , 104.5906525
 59873.1547815372759942 , -3.8256042003631592 , 12 , 0.9810574 , 0.0028754 , 0.9068215 , 0.0029441 , 8.5869932 , 0.1316273005876859 , 0.9420167 , 0.0020350 , 0.9073029 , 0.0040590 , 5333.3398438 , 111.4368134 , 132.0033722
 59873.1583504606460338 , -3.7395358085632324 , 12 , 0.9856426 , 0.0030417 , 0.9063764 , 0.0041652 , 8.4093933 , 0.0971316065062257 , 0.9420777 , 0.0028998 , 0.8979884 , 0.0037554 , 4857.2724609 , 121.2341766 , 145.3323212
 59873.1619192828075029 , -3.6534678936004639 , 12 , 0.9853984 , 0.0054446 , 0.9050498 , 0.0043870 , 8.4126396 , 0.1206442469411817 , 0.9391454 , 0.0040826 , 0.8948589 , 0.0038723 , 6017.6909180 , 101.5605621 , 121.2451477
 59873.1654881843278417 , -3.5673992633819580 , 12 , 0.9871390 , 0.0043277 , 0.8961800 , 0.0048941 , 8.2584352 , 0.0917149482319094 , 0.9371104 , 0.0031895 , 0.8796497 , 0.0121025 , 3552.1823730 , 56.2607803 , 69.5691071
 59873.1697015266618109 , -3.4662902355194092 , 12 , 0.9787549 , 0.0055712 , 0.9064270 , 0.0052617 , 6.9255538 , 0.0848476917905431 , 0.9510908 , 0.0027768 , 0.9045541 , 0.0022341 , 4169.3359375 , 154.8425903 , 187.8939209
 59873.1732704395253677 , -3.3802220821380615 , 12 , 0.9739529 , 0.0052608 , 0.8973247 , 0.0049666 , 6.8642516 , 0.1088407787542434 , 0.9478201 , 0.0037140 , 0.8992450 , 0.0029977 , 4283.2060547 , 113.0735321 , 140.0819855
 59873.1842746014081058 , -3.1153323650360107 , 12 , 0.9866616 , 0.0052689 , 0.9156469 , 0.0054307 , 8.2348404 , 0.1118946947376221 , 0.9358685 , 0.0027401 , 0.9208148 , 0.0039344 , 3721.7734375 , 117.9251404 , 136.6024017
 59873.1878434000391280 , -3.0292642116546631 , 12 , 0.9866277 , 0.0034514 , 0.9104468 , 0.0033320 , 8.6495266 , 0.0735666443268159 , 0.9326702 , 0.0022336 , 0.9139244 , 0.0047453 , 4202.4960938 , 113.0901794 , 132.5084534
 59873.1914123768292484 , -2.9440317153930664 , 12 , 0.9921865 , 0.0042734 , 0.9144178 , 0.0042217 , 8.4549160 , 0.1074693204341158 , 0.9357437 , 0.0025087 , 0.9089848 , 0.0045381 , 4588.8930664 , 141.4088593 , 161.7466888
 59873.1949812522507273 , -2.8579633235931396 , 12 , 1.0005496 , 0.0055261 , 0.9136702 , 0.0049693 , 8.5054569 , 0.1540766647905807 , 0.9316132 , 0.0032567 , 0.8987831 , 0.0027073 , 3993.1708984 , 116.7495422 , 133.1987000
 59873.1993431949958904 , -2.7526760101318359 , 12 , 0.9892280 , 0.0076230 , 0.9211711 , 0.0071843 , 7.9365087 , 0.0502745376429818 , 0.9538489 , 0.0037203 , 0.9157917 , 0.0039396 , 5581.0395508 , 163.4847565 , 186.6871490
 59873.2021189930674154 , -2.6858270168304443 , 12 , 0.9858387 , 0.0020611 , 0.9126334 , 0.0043334 , 8.0226917 , 0.2087216145133777 , 0.9437165 , 0.0031364 , 0.9108036 , 0.0028133 , 5688.8212891 , 179.6793365 , 214.7354431
 59873.2071254579277593 , -2.5654985904693604 , 12 , 0.9989504 , 0.0070142 , 0.9312193 , 0.0074693 , 6.0808396 , 0.1964394617909611 , 0.9436387 , 0.0023849 , 0.9171669 , 0.0085010 , 792.6126099 , 22.7500191 , 25.4726715
 59873.2106943159596995 , -2.4794301986694336 , 12 , 0.9961564 , 0.0072822 , 0.9342974 , 0.0054185 , 5.9858909 , 0.1650307625350233 , 0.9453394 , 0.0027479 , 0.9306343 , 0.0067937 , 1165.6679688 , 27.5145035 , 30.1847057
 59873.2263579077625764 , -2.1025681495666504 , 12 , 0.9858201 , 0.0057011 , 0.9252869 , 0.0060478 , 7.8520432 , 0.0648868247760676 , 0.9496131 , 0.0033968 , 0.9247613 , 0.0033967 , 3035.7414551 , 74.4679642 , 85.6733398
 59873.2299267546259216 , -2.0164999961853027 , 12 , 0.9954311 , 0.0045141 , 0.9318011 , 0.0045689 , 7.6943569 , 0.0586244270444765 , 0.9506899 , 0.0038455 , 0.9283314 , 0.0042755 , 3116.2277832 , 105.8517075 , 119.2454681
