MJD, HA, BASELINE, VisRatio_normed, visratio_normed_err, visratio_raw, visratio_raw_error, PhaseDiff, Phase_err, Tel1_ratio,tel1_ratio_err,tel2_ratio,tel2_ratio_err, snr12, vis2_1,vis2_2 
 59874.1070955355826300 , -4.9066367149353027 , 0 , 0.9856294 , 0.0130351 , 0.9525934 , 0.0114372 , 2.6537690 , 0.4508861316150135 , 0.9528034 , 0.0077435 , 0.9868092 , 0.0140036 , 144.5905762 , 2.9260852 , 3.0131497
 59874.1103600773567450 , -4.8280887603759766 , 0 , 0.9900417 , 0.0099589 , 0.9486562 , 0.0094952 , 2.2899172 , 0.3575603503406221 , 0.9501536 , 0.0077066 , 0.9706833 , 0.0075229 , 163.1527710 , 3.0729923 , 3.1931491
 59874.1153722116068820 , -4.7077603340148926 , 0 , 0.9808894 , 0.0140568 , 0.9340469 , 0.0140428 , 1.8861022 , 0.4060637368652122 , 0.9363994 , 0.0045433 , 0.9789209 , 0.0086237 , 305.0419312 , 6.0742254 , 6.5982499
 59874.1186367804839392 , -4.6292128562927246 , 0 , 0.9760426 , 0.0133561 , 0.9277295 , 0.0149354 , 1.4980285 , 0.3589305255296241 , 0.9334459 , 0.0042116 , 0.9677837 , 0.0086123 , 332.9937744 , 7.0561900 , 7.5530853
 59874.1240776319318684 , -4.4980216026306152 , 0 , 0.9950028 , 0.0096717 , 0.9452784 , 0.0107060 , 2.1412430 , 0.2310494781663612 , 0.9402284 , 0.0046938 , 0.9608120 , 0.0069122 , 290.8512573 , 8.0587702 , 8.3491726
 59874.1277048318588641 , -4.4102821350097656 , 0 , 0.9919515 , 0.0117096 , 0.9366706 , 0.0131351 , 1.5319850 , 0.2863026113235724 , 0.9394443 , 0.0039358 , 0.9559152 , 0.0070179 , 380.6629639 , 6.3586764 , 6.7405558
 59874.1385205642654910 , -4.1504063606262207 , 0 , 1.0020723 , 0.0084070 , 0.9450772 , 0.0072017 , 2.1295543 , 0.2716991686049166 , 0.9331726 , 0.0053247 , 0.9658815 , 0.0078882 , 668.0812378 , 20.4616604 , 21.5515919
 59874.1421477659750963 , -4.0635027885437012 , 0 , 0.9998696 , 0.0105370 , 0.9500923 , 0.0102950 , 2.2732778 , 0.0831341329125470 , 0.9359300 , 0.0051153 , 0.9620607 , 0.0100667 , 743.3496704 , 16.9709988 , 18.5392246
 59874.1468631175666815 , -3.9498591423034668 , 0 , 0.9874253 , 0.0076887 , 0.9418783 , 0.0104649 , 2.6762824 , 0.1921651926852871 , 0.9269322 , 0.0038652 , 0.9797499 , 0.0109772 , 420.6488342 , 10.8976355 , 11.2464828
 59874.1504904003813863 , -3.8621196746826172 , 0 , 0.9914309 , 0.0161722 , 0.9420528 , 0.0141881 , 2.7271731 , 0.2992819856640347 , 0.9299948 , 0.0083815 , 0.9785597 , 0.0079196 , 573.5562134 , 17.6226597 , 18.7609425
 59874.1553046503468067 , -3.7468049526214600 , 0 , 0.9778418 , 0.0088495 , 0.9353839 , 0.0069467 , 2.4184647 , 0.2195260594750344 , 0.9327036 , 0.0064217 , 0.9857856 , 0.0101179 , 633.5303955 , 14.5226126 , 16.8259239
 59874.1589319766135304 , -3.6590657234191895 , 0 , 0.9671150 , 0.0080398 , 0.9197853 , 0.0091393 , 1.5837466 , 0.1586535006521790 , 0.9285319 , 0.0059670 , 0.9903408 , 0.0088129 , 528.2006836 , 11.3935871 , 14.7104053
 59874.1855425416797516 , -3.2997515201568604 , 0 , 0.9795048 , 0.0097640 , 0.9419938 , 0.0112719 , 0.9400674 , 0.1299227208726767 , 0.9463362 , 0.0037193 , 0.9775820 , 0.0079789 , 441.9915161 , 12.9394579 , 13.9457541
 59874.1920056315502734 , -2.8635609149932861 , 0 , 0.9747815 , 0.0153032 , 0.9330048 , 0.0142864 , 0.5305405 , 0.1629641807260311 , 0.9429175 , 0.0020192 , 0.9797532 , 0.0100031 , 388.4068298 , 10.3499498 , 13.3116236
 59874.1952701292466372 , -2.7850131988525391 , 0 , 0.9441892 , 0.0112588 , 0.8996816 , 0.0115449 , 0.4508381 , 0.2028564160017423 , 0.9434371 , 0.0048145 , 0.9673854 , 0.0091286 , 316.2828369 , 9.5172796 , 12.5654516
 59874.2004142166042584 , -2.6605069637298584 , 0 , 0.9806060 , 0.0061470 , 0.9353662 , 0.0064557 , 0.5053645 , 0.2036579068114262 , 0.9440674 , 0.0027906 , 0.9628919 , 0.0063318 , 426.5028687 , 11.6133223 , 13.1925526
