MJD, HA, BASELINE, VisRatio_normed, visratio_normed_err, visratio_raw, visratio_raw_error, PhaseDiff, Phase_err, Tel1_ratio,tel1_ratio_err,tel2_ratio,tel2_ratio_err, snr12, vis2_1,vis2_2 
 59874.1070955355826300 , -4.9066367149353027 , 8 , 0.9621622 , 0.0177217 , 0.9348700 , 0.0115911 , -35.8541641 , 0.1766197614113145 , 0.9868092 , 0.0140036 , 0.9562497 , 0.0140411 , 146.3175354 , 2.6181722 , 2.9728537
 59874.1103600773567450 , -4.8280887603759766 , 8 , 0.9590769 , 0.0119089 , 0.9138891 , 0.0128490 , -36.7368927 , 0.3547934356836824 , 0.9706833 , 0.0075229 , 0.9221864 , 0.0145096 , 132.4776917 , 2.0039544 , 2.2896159
 59874.1153722116068820 , -4.7077603340148926 , 8 , 0.9494754 , 0.0240709 , 0.9106824 , 0.0244361 , -35.5709877 , 0.2828352450965252 , 0.9789209 , 0.0086237 , 0.9473812 , 0.0066055 , 112.2242279 , 2.0485580 , 2.3986716
 59874.1186367804839392 , -4.6292128562927246 , 8 , 0.9422413 , 0.0135889 , 0.9019631 , 0.0122445 , -36.2683716 , 0.2271744618606959 , 0.9677837 , 0.0086123 , 0.9484391 , 0.0072169 , 84.1197510 , 1.7438029 , 1.9979243
 59874.1240776319318684 , -4.4980216026306152 , 8 , 0.9719265 , 0.0132529 , 0.9132397 , 0.0123625 , -36.1870613 , 0.2564622751236469 , 0.9608120 , 0.0069122 , 0.9163992 , 0.0092264 , 64.9921265 , 1.3823384 , 1.6274395
 59874.1277048318588641 , -4.4102821350097656 , 8 , 0.9675065 , 0.0230779 , 0.8932269 , 0.0247115 , -36.5596161 , 0.4738788979736413 , 0.9559152 , 0.0070179 , 0.9031960 , 0.0125888 , 78.5758286 , 1.1485775 , 1.3569615
 59874.1385205642654910 , -4.1504063606262207 , 8 , 0.9374084 , 0.0159714 , 0.9111531 , 0.0159760 , -34.9726753 , 0.2964396265609522 , 0.9658815 , 0.0078882 , 0.9765543 , 0.0078325 , 392.2580566 , 9.7950754 , 11.6295013
 59874.1421477659750963 , -4.0635027885437012 , 8 , 0.9150297 , 0.0231355 , 0.8950434 , 0.0237437 , -36.0209885 , 0.2738257787637705 , 0.9620607 , 0.0100667 , 0.9811384 , 0.0104194 , 243.0388641 , 7.6490088 , 9.2290726
 59874.1468631175666815 , -3.9498591423034668 , 8 , 0.9588762 , 0.0085843 , 0.9426256 , 0.0107190 , -35.9728508 , 0.2678869993905375 , 0.9797499 , 0.0109772 , 0.9845350 , 0.0059249 , 184.4570770 , 4.7204895 , 5.1937189
 59874.1504904003813863 , -3.8621196746826172 , 8 , 0.9525052 , 0.0169397 , 0.9362413 , 0.0151784 , -37.1186180 , 0.5186586143237196 , 0.9785597 , 0.0079196 , 0.9853003 , 0.0131069 , 134.8664856 , 4.1094580 , 4.2713895
 59874.1553046503468067 , -3.7468049526214600 , 8 , 0.9303482 , 0.0221337 , 0.8830454 , 0.0241148 , -38.7502327 , 0.7079091527978399 , 0.9857856 , 0.0101179 , 0.9376879 , 0.0211692 , 61.4933586 , 1.1738949 , 1.5781587
 59874.1589319766135304 , -3.6590657234191895 , 8 , 0.9301706 , 0.0192544 , 0.8964821 , 0.0214109 , -35.2718353 , 0.2701097416293781 , 0.9903408 , 0.0088129 , 0.9445534 , 0.0071332 , 228.5712280 , 5.1601243 , 6.3731961
