MJD, HA, BASELINE, VisRatio_normed, visratio_normed_err, visratio_raw, visratio_raw_error, PhaseDiff, Phase_err, Tel1_ratio,tel1_ratio_err,tel2_ratio,tel2_ratio_err, snr12, vis2_1,vis2_2 
 59874.1070955355826300 , -4.9066367149353027 , 5 , 0.9910960 , 0.0044550 , 0.9618556 , 0.0126919 , 28.1635189 , 0.1783818877516281 , 0.9868092 , 0.0140036 , 0.9445639 , 0.0105678 , 1882.8048096 , 42.4063606 , 46.0129662
 59874.1103600773567450 , -4.8280887603759766 , 5 , 0.9919343 , 0.0077808 , 0.9621731 , 0.0091247 , 27.7901802 , 0.0912011946977355 , 0.9706833 , 0.0075229 , 0.9731627 , 0.0146107 , 1659.3653564 , 28.6547928 , 31.0411415
 59874.1153722116068820 , -4.7077603340148926 , 5 , 0.9937229 , 0.0051632 , 0.9432548 , 0.0056176 , 26.7044582 , 0.1052932642801255 , 0.9789209 , 0.0086237 , 0.9280556 , 0.0099971 , 2048.4819336 , 51.7777214 , 55.1272049
 59874.1186367804839392 , -4.6292128562927246 , 5 , 0.9925321 , 0.0039712 , 0.9494871 , 0.0074219 , 26.9828129 , 0.1794032283106135 , 0.9677837 , 0.0086123 , 0.9466969 , 0.0083497 , 2359.1604004 , 49.1067352 , 51.6050606
 59874.1240776319318684 , -4.4980216026306152 , 5 , 0.9943558 , 0.0038334 , 0.9554537 , 0.0061135 , 26.4876213 , 0.2119696248836291 , 0.9608120 , 0.0069122 , 0.9648048 , 0.0094328 , 1790.4005127 , 33.9892197 , 34.9405174
 59874.1277048318588641 , -4.4102821350097656 , 5 , 0.9912649 , 0.0061389 , 0.9642832 , 0.0074578 , 26.3051376 , 0.2432373840823366 , 0.9559152 , 0.0070179 , 1.0014461 , 0.0124077 , 1437.0706787 , 21.4461956 , 21.8044395
 59874.1385205642654910 , -4.1504063606262207 , 5 , 0.9966033 , 0.0047148 , 0.9618219 , 0.0094351 , 28.1205654 , 0.2014349706578330 , 0.9658815 , 0.0078882 , 0.9634646 , 0.0101060 , 2023.9162598 , 71.8430557 , 75.2134094
 59874.1421477659750963 , -4.0635027885437012 , 5 , 0.9996803 , 0.0055862 , 0.9681435 , 0.0107082 , 28.0982056 , 0.2091798315493010 , 0.9620607 , 0.0100667 , 0.9710405 , 0.0160033 , 2216.6264648 , 59.1141014 , 60.7517509
 59874.1468631175666815 , -3.9498591423034668 , 5 , 0.9983009 , 0.0050524 , 0.9592145 , 0.0074513 , 27.4940777 , 0.1151665264052047 , 0.9797499 , 0.0109772 , 0.9530311 , 0.0044207 , 2278.7741699 , 69.2972488 , 73.7868576
 59874.1504904003813863 , -3.8621196746826172 , 5 , 0.9966674 , 0.0039171 , 0.9678131 , 0.0075564 , 27.1263847 , 0.2320062831409878 , 0.9785597 , 0.0079196 , 0.9667845 , 0.0093536 , 2560.7001953 , 60.4213753 , 62.3599129
 59874.1553046503468067 , -3.7468049526214600 , 5 , 0.9903082 , 0.0052095 , 0.9818715 , 0.0088658 , 26.9503345 , 0.1476847677747141 , 0.9857856 , 0.0101179 , 0.9901636 , 0.0093235 , 1290.3238525 , 31.3397503 , 33.2697449
 59874.1589319766135304 , -3.6590657234191895 , 5 , 0.9937645 , 0.0039053 , 0.9914984 , 0.0062316 , 27.4070206 , 0.1367217757191771 , 0.9903408 , 0.0088129 , 1.0099106 , 0.0124716 , 970.4479980 , 27.1242180 , 26.3515587
