MJD, HA, BASELINE, VisRatio_normed, visratio_normed_err, visratio_raw, visratio_raw_error, PhaseDiff, Phase_err, Tel1_ratio,tel1_ratio_err,tel2_ratio,tel2_ratio_err, snr12, vis2_1,vis2_2 
 59871.1939954686895362 , -3.0122189521789551 , 0 , 0.9554486 , 0.0272288 , 0.9854432 , 0.0253620 , -62.9272995 , 1.2707370673162830 , 1.0167243 , 0.0130442 , 1.0449444 , 0.0068900 , 57.0266190 , 4.0395041 , 3.3067355
 59871.1961717438243795 , -2.9604108333587646 , 0 , 0.9453187 , 0.0578149 , 0.9767451 , 0.0595683 , -65.2088623 , 1.1449344873194793 , 1.0103735 , 0.0073849 , 1.0474292 , 0.0105539 , 44.2260895 , 3.6782489 , 3.1062343
 59871.2042835971442400 , -2.7648773193359375 , 0 , 0.9221472 , 0.0694474 , 0.9512411 , 0.0558772 , -63.4722214 , 1.3478499578401544 , 1.0064598 , 0.0407759 , 1.0533623 , 0.0045498 , 50.8997650 , 4.8828716 , 4.4156837
 59871.2091638644778868 , -2.6470553874969482 , 0 , 0.9374483 , 0.0229051 , 0.9659662 , 0.0252084 , -63.7599754 , 0.5279808442834303 , 1.0110011 , 0.0090922 , 1.0508481 , 0.0087188 , 55.6098785 , 4.9020729 , 4.4407778
 59871.2127910970302764 , -2.5601515769958496 , 0 , 0.9642484 , 0.0211202 , 0.9878002 , 0.0229488 , -63.4175720 , 0.4825473654205857 , 1.0072000 , 0.0067970 , 1.0560278 , 0.0089798 , 72.6378479 , 5.1753993 , 4.7250576
 59871.2165502265706891 , -2.4699056148529053 , 0 , 0.9409469 , 0.0161743 , 0.9684588 , 0.0154429 , -64.0638123 , 0.4139556411545759 , 1.0049517 , 0.0106499 , 1.0555553 , 0.0041005 , 61.5618820 , 5.0203009 , 4.8367434
 59871.2201773925771704 , -2.3821661472320557 , 0 , 0.9423318 , 0.0152594 , 0.9713854 , 0.0171389 , -63.3355637 , 0.2375019521423771 , 1.0046626 , 0.0145691 , 1.0561270 , 0.0069459 , 56.6634102 , 4.3865209 , 4.1992588
 59871.2239365029454348 , -2.2919197082519531 , 0 , 0.9669881 , 0.0419816 , 0.9980720 , 0.0434889 , -63.4096985 , 0.5848382613743690 , 1.0067888 , 0.0087990 , 1.0550570 , 0.0059536 , 58.1176720 , 4.4741473 , 4.1810369
 59871.2264756712393137 , -2.2309200763702393 , 0 , 0.9621238 , 0.0246142 , 0.9867811 , 0.0257322 , -64.6446533 , 0.4923118077309940 , 1.0089619 , 0.0040368 , 1.0495073 , 0.0055568 , 45.2705154 , 3.5182514 , 3.6728461
 59871.2595064832858043 , -1.4362509250640869 , 0 , 0.9434459 , 0.0198872 , 0.9877564 , 0.0191745 , -67.5229874 , 0.3546764841485011 , 1.0352618 , 0.0060154 , 1.0737684 , 0.0067701 , 71.7266769 , 11.5333157 , 9.7968769
 59871.2638261801548651 , -1.3317987918853760 , 0 , 0.9411352 , 0.0286376 , 0.9886414 , 0.0305480 , -68.0478287 , 0.5884907622764920 , 1.0385128 , 0.0042490 , 1.0739762 , 0.0059919 , 65.7290344 , 8.6364975 , 7.8024983
 59871.2667280083842343 , -1.2624430656433105 , 0 , 0.9610240 , 0.0151532 , 1.0115505 , 0.0175932 , -67.6187439 , 0.3709434469288564 , 1.0411986 , 0.0065662 , 1.0801243 , 0.0081119 , 88.9350739 , 14.1354904 , 11.5451241
 59871.2696297005604720 , -1.1922514438629150 , 0 , 0.9557604 , 0.0188203 , 1.0081415 , 0.0200444 , -68.4542923 , 0.5585356747607542 , 1.0405314 , 0.0058725 , 1.0748640 , 0.0051158 , 97.9102783 , 10.1154146 , 8.9422197
 59871.2804784646505141 , -0.9315397143363953 , 0 , 0.9450513 , 0.0301423 , 1.0121462 , 0.0329369 , -68.1510315 , 0.3607247298423482 , 1.0481931 , 0.0055608 , 1.0761946 , 0.0048519 , 116.0294495 , 15.0098362 , 13.0093269
 59871.2841056918114191 , -0.8438002467155457 , 0 , 0.9512767 , 0.0181485 , 1.0075781 , 0.0199087 , -69.0334854 , 0.2966470214987872 , 1.0481901 , 0.0070676 , 1.0779926 , 0.0062155 , 131.1927338 , 18.3035603 , 15.5006304
 59871.2878647850229754 , -0.7535538673400879 , 0 , 0.9333917 , 0.0278922 , 0.9892237 , 0.0295281 , -69.5863495 , 0.2965603722376434 , 1.0484251 , 0.0056297 , 1.0815779 , 0.0051136 , 91.2301636 , 12.0701113 , 10.3415775
 59871.2914920316543430 , -0.6658141613006592 , 0 , 0.9515254 , 0.0240586 , 1.0101974 , 0.0237909 , -68.1828766 , 0.4061213621035785 , 1.0499144 , 0.0061326 , 1.0730150 , 0.0068371 , 109.3825989 , 13.7533875 , 12.5880327
 59871.2951193169137696 , -0.5789102911949158 , 0 , 0.9625358 , 0.0136050 , 1.0147346 , 0.0126064 , -66.7551041 , 0.2832112293076723 , 1.0454566 , 0.0068871 , 1.0741118 , 0.0047773 , 111.7548294 , 15.1783037 , 13.8332291
 59871.2983837804858922 , -0.5003625154495239 , 0 , 0.9599166 , 0.0207040 , 1.0062394 , 0.0206810 , -64.7941513 , 0.2668248968327772 , 1.0420396 , 0.0111319 , 1.0691707 , 0.0087984 , 114.4411392 , 15.3391657 , 13.2324448
 59871.3155636426163255 , -0.0867333337664604 , 0 , 0.9624326 , 0.0168958 , 0.9611309 , 0.0151270 , -42.9077835 , 0.8481979277176891 , 0.9811184 , 0.0109998 , 1.0407386 , 0.0063626 , 126.4635468 , 13.9965830 , 12.6987839
 59871.3191908891167259 , 0.0001705555623630 , 0 , 0.9434462 , 0.0194803 , 0.9322295 , 0.0222732 , -36.5175819 , 0.7680632836284342 , 0.9604629 , 0.0083684 , 1.0130928 , 0.0056064 , 131.6727753 , 13.7716770 , 13.9697428
 59871.3228174106188817 , 0.0879102796316147 , 0 , 0.9499987 , 0.0152755 , 0.9111509 , 0.0100403 , -28.5830364 , 0.6225578146332058 , 0.9361611 , 0.0098697 , 0.9949189 , 0.0100258 , 118.7056961 , 12.0319662 , 11.8652496
