MJD, HA, BASELINE, VisRatio_normed, visratio_normed_err, visratio_raw, visratio_raw_error, PhaseDiff, Phase_err, Tel1_ratio,tel1_ratio_err,tel2_ratio,tel2_ratio_err, snr12, vis2_1,vis2_2 
 59871.1939954686895362 , -3.0122189521789551 , 9 , 0.9430532 , 0.0146460 , 0.9799210 , 0.0168695 , 15.8753157 , 0.3027681189305494 , 1.0272582 , 0.0067890 , 1.0311009 , 0.0103391 , 310.8838501 , 21.8135185 , 19.2017365
 59871.1961717438243795 , -2.9604108333587646 , 9 , 0.9501530 , 0.0189803 , 0.9771787 , 0.0190861 , 16.1681118 , 0.3642549320396113 , 1.0294975 , 0.0044477 , 1.0367359 , 0.0106527 , 277.6383667 , 16.0921535 , 13.9164057
 59871.2046462774378597 , -2.7565212249755859 , 9 , 0.9482707 , 0.0234442 , 0.9496573 , 0.0213186 , 13.6877756 , 0.3937990459157228 , 1.0239642 , 0.0050943 , 0.9852883 , 0.0037376 , 838.4099121 , 61.2508011 , 61.0926208
 59871.2091638644778868 , -2.6470553874969482 , 9 , 0.9378903 , 0.0193731 , 0.9408562 , 0.0164814 , 14.7521915 , 0.3328700762534546 , 1.0253799 , 0.0067508 , 0.9858683 , 0.0042987 , 738.5422363 , 65.7977295 , 67.5202332
 59871.2127910970302764 , -2.5601515769958496 , 9 , 0.9362483 , 0.0129200 , 0.9467130 , 0.0115955 , 14.5871162 , 0.2132257372066351 , 1.0280094 , 0.0129342 , 0.9938904 , 0.0041887 , 478.6647034 , 35.1336136 , 36.6409035
 59871.2165502265706891 , -2.4699056148529053 , 9 , 0.9270698 , 0.0295631 , 0.9402341 , 0.0283608 , 16.1211300 , 0.3061050147218407 , 1.0357420 , 0.0082396 , 0.9950291 , 0.0034059 , 282.3119202 , 24.4344578 , 24.2354279
 59871.2201773925771704 , -2.3821661472320557 , 9 , 0.8999289 , 0.0193506 , 0.9143434 , 0.0175534 , 16.4301758 , 0.2748657691013925 , 1.0333149 , 0.0099564 , 1.0033864 , 0.0070491 , 197.3130798 , 17.8858452 , 18.3406353
 59871.2239365029454348 , -2.2919197082519531 , 9 , 0.9099189 , 0.0197102 , 0.9398608 , 0.0262288 , 14.4814482 , 0.3652589766034018 , 1.0572326 , 0.0238484 , 1.0040032 , 0.0046781 , 151.8553772 , 10.1889000 , 11.0861435
 59871.2264756712393137 , -2.2309200763702393 , 9 , 0.9221725 , 0.0277877 , 0.9598505 , 0.0271184 , 13.5963306 , 0.4990068801816316 , 1.0842121 , 0.0087395 , 1.0067316 , 0.0065999 , 80.6576767 , 6.2195201 , 5.8289557
 59871.2516584452387178 , -1.6250997781753540 , 9 , 0.9601985 , 0.0179045 , 0.9790572 , 0.0199225 , 13.2617388 , 0.4386976444063385 , 1.0428410 , 0.0049893 , 0.9939415 , 0.0036889 , 984.0204468 , 123.4404373 , 116.1956711
 59871.2573301814554725 , -1.4880589246749878 , 9 , 0.9513233 , 0.0222169 , 0.9701043 , 0.0246307 , 14.6137419 , 0.6032489200641397 , 1.0397286 , 0.0091107 , 0.9936703 , 0.0041906 , 867.5405884 , 105.1982727 , 96.1118927
