MJD, HA, BASELINE, VisRatio_normed, visratio_normed_err, visratio_raw, visratio_raw_error, PhaseDiff, Phase_err, Tel1_ratio,tel1_ratio_err,tel2_ratio,tel2_ratio_err, snr12, vis2_1,vis2_2 
 59873.0976507627929095 , -5.1996316909790039 , 3 , 0.8730722 , 0.0696378 , 0.9065875 , 0.0727173 , 52.6663971 , 0.5746140522600205 , 1.0575249 , 0.0098941 , 1.0198532 , 0.0063374 , 11.0388784 , 0.7592126 , 0.8996256
 59873.1099504383309977 , -4.9038243293762207 , 3 , 0.8610498 , 0.0603780 , 0.8833054 , 0.0586620 , 52.0077362 , 0.4782757443652742 , 1.0229473 , 0.0180710 , 1.0182158 , 0.0109924 , 11.7808676 , 0.8562193 , 0.9760346
 59873.1368590084966854 , -4.2562236785888672 , 3 , 0.9051429 , 0.0683761 , 1.0097796 , 0.0787189 , 52.5712013 , 1.3691563165247518 , 1.1428550 , 0.0076722 , 1.0913087 , 0.0044317 , 8.3126945 , 1.1480826 , 0.8586801
 59873.1401236746460199 , -4.1776757240295410 , 3 , 0.8537444 , 0.0905760 , 0.9637935 , 0.1015448 , 51.5285339 , 1.1307592330854652 , 1.1505235 , 0.0063327 , 1.0991931 , 0.0064755 , 8.2467403 , 1.1584418 , 1.0191975
 59873.1600409812526777 , -3.6980335712432861 , 3 , 0.7962864 , 0.1670426 , 0.8893147 , 0.1860794 , 57.7887115 , 2.7565169898276132 , 1.1428978 , 0.0139003 , 1.0850049 , 0.0030517 , 5.8159919 , 0.5868357 , 0.6310388
 59873.1658446587098297 , -3.5584862232208252 , 3 , 0.8285230 , 0.2237700 , 0.9239444 , 0.2422585 , 52.4507408 , 2.5421836924985572 , 1.1439034 , 0.0164193 , 1.0878642 , 0.0041230 , 5.1590190 , 0.6144547 , 0.3617187
 59873.1713516393938335 , -3.4256236553192139 , 3 , 0.8478835 , 0.0528692 , 0.9474909 , 0.0564719 , 51.6227989 , 2.5532086281964053 , 1.1437888 , 0.0160593 , 1.0850998 , 0.0048838 , 5.8436341 , 0.5367769 , 0.6126930
 59873.1859599443196203 , -3.0746657848358154 , 3 , 0.9073461 , 0.1482213 , 1.0200424 , 0.1679986 , 48.8845596 , 1.0436261631852317 , 1.1539148 , 0.0086407 , 1.0910560 , 0.0038079 , 7.5286899 , 1.2818964 , 0.9765514
 59873.1917636680736905 , -2.9351184368133545 , 3 , 0.9206828 , 0.1349089 , 1.0327362 , 0.1519987 , 49.2172203 , 0.9199823450693950 , 1.1597506 , 0.0126173 , 1.0871680 , 0.0034149 , 7.2251592 , 1.1247352 , 0.9181263
 59873.1953909890871728 , -2.8473787307739258 , 3 , 0.9738644 , 0.1117697 , 1.0920577 , 0.1219387 , 46.2475128 , 3.6102704235131373 , 1.1543670 , 0.0023170 , 1.0901434 , 0.0065878 , 8.2347889 , 1.0785176 , 0.7375298
 59873.1992161778689479 , -2.7554614543914795 , 3 , 0.8935934 , 0.0766764 , 1.0032490 , 0.0877885 , 48.3753166 , 2.0377497241571820 , 1.1526351 , 0.0068750 , 1.0915459 , 0.0031777 , 6.3714323 , 0.8168133 , 0.6911370
