MJD, HA, BASELINE, VisRatio_normed, visratio_normed_err, visratio_raw, visratio_raw_error, PhaseDiff, Phase_err, Tel1_ratio,tel1_ratio_err,tel2_ratio,tel2_ratio_err, snr12, vis2_1,vis2_2 
 59873.0983761759489425 , -5.1820831298828125 , 13 , 0.9412644 , 0.0180773 , 0.9580445 , 0.0126568 , 25.6365299 , 0.3753318612056008 , 0.9814299 , 0.0067481 , 1.0846734 , 0.0225103 , 153.4645691 , 11.7914610 , 10.4381180
 59873.1034543206114904 , -5.0600838661193848 , 13 , 0.9499364 , 0.0101015 , 0.9761569 , 0.0085412 , 27.0227852 , 0.3278483666831557 , 0.9758474 , 0.0039663 , 1.0766376 , 0.0098636 , 376.7201233 , 30.9811726 , 29.5578785
 59873.1099504383309977 , -4.9038243293762207 , 13 , 0.9320414 , 0.0229633 , 0.9757924 , 0.0257360 , 26.2152786 , 0.2598502070867448 , 0.9867315 , 0.0081296 , 1.0963241 , 0.0162432 , 180.3072205 , 13.6295929 , 12.9370165
 59873.1368590084966854 , -4.2562236785888672 , 13 , 0.9613674 , 0.0099734 , 1.0698519 , 0.0111668 , 27.0283165 , 0.2143237279720160 , 1.0875969 , 0.0068100 , 1.1382796 , 0.0054653 , 699.2884521 , 92.0592117 , 70.5931091
 59873.1404863499774365 , -4.1684842109680176 , 13 , 0.9632297 , 0.0089273 , 1.0804427 , 0.0103584 , 27.0781651 , 0.3038791761413804 , 1.0951185 , 0.0103173 , 1.1451750 , 0.0123780 , 544.2482300 , 83.8586960 , 62.9237518
 59873.1560509376504342 , -3.7941293716430664 , 13 , 0.9658577 , 0.0120293 , 1.0602646 , 0.0128911 , 27.5614567 , 0.2354514398381021 , 1.0859849 , 0.0049237 , 1.1066675 , 0.0076927 , 447.6511536 , 66.6213150 , 51.5803185
 59873.1618546552781481 , -3.6545820236206055 , 13 , 0.9691678 , 0.0119218 , 1.0565636 , 0.0122577 , 27.8519840 , 0.1556900498768634 , 1.0857413 , 0.0045059 , 1.0959296 , 0.0091892 , 299.7327271 , 39.3067207 , 31.3873463
 59873.1680870772543130 , -3.5041713714599609 , 13 , 0.9673832 , 0.0095689 , 1.0586008 , 0.0110028 , 26.9637680 , 0.2330854546297929 , 1.0893693 , 0.0070959 , 1.1029575 , 0.0100452 , 367.4105225 , 58.3423080 , 45.0752678
 59873.1728026139462600 , -3.3913633823394775 , 13 , 0.9736616 , 0.0113055 , 1.0698932 , 0.0130138 , 27.3662624 , 0.2002784477864263 , 1.0838828 , 0.0057204 , 1.1083144 , 0.0075085 , 309.9859924 , 44.5081711 , 34.4707794
 59873.1855971628829138 , -3.0830218791961670 , 13 , 0.9746292 , 0.0148904 , 1.0640748 , 0.0138436 , 27.6752701 , 0.1296497557014049 , 1.0859629 , 0.0077863 , 1.1044449 , 0.0089750 , 801.2589111 , 125.7855377 , 98.6613998
 59873.1914009104002616 , -2.9434745311737061 , 13 , 0.9781758 , 0.0123498 , 1.0792614 , 0.0112543 , 27.5834904 , 0.1658680318157971 , 1.0900340 , 0.0060882 , 1.1137633 , 0.0068345 , 775.9443359 , 115.0159607 , 90.7226791
 59873.1963308537160628 , -2.8214750289916992 , 13 , 0.9817243 , 0.0225387 , 1.0802770 , 0.0242764 , 27.2865849 , 0.1726917062601095 , 1.0865933 , 0.0060781 , 1.1081815 , 0.0054756 , 673.0156250 , 85.1853180 , 65.2064056
 59873.2013925295905210 , -2.7028179168701172 , 13 , 0.9829441 , 0.0149592 , 1.0712843 , 0.0187009 , 27.2243786 , 0.2168287677215710 , 1.0853345 , 0.0045299 , 1.1023810 , 0.0121033 , 698.8084106 , 99.6812668 , 77.7785568
 59873.2073281796183437 , -2.5599277019500732 , 13 , 0.9804124 , 0.0136236 , 1.0865961 , 0.0129386 , 27.6808491 , 0.2411051016912707 , 1.0889446 , 0.0057152 , 1.1211158 , 0.0082295 , 576.1092529 , 89.1257401 , 71.8863907
 59873.2109554919297807 , -2.4730238914489746 , 13 , 0.9842581 , 0.0077818 , 1.0941424 , 0.0067544 , 26.8540211 , 0.5299480297053325 , 1.0915827 , 0.0076740 , 1.1353483 , 0.0105320 , 605.4826050 , 81.4092941 , 63.1635590
 59873.2276412001810968 , -2.0710935592651367 , 13 , 0.9844972 , 0.0165572 , 1.0806010 , 0.0176474 , 27.4817505 , 0.1795602801142451 , 1.0871106 , 0.0048380 , 1.1068857 , 0.0090873 , 214.6066742 , 27.8010216 , 21.9041958
 59873.2334449274785584 , -1.9315458536148071 , 13 , 0.9651892 , 0.0212078 , 1.0673786 , 0.0240720 , 27.5907459 , 0.2076820872526975 , 1.0981088 , 0.0057403 , 1.1140664 , 0.0108307 , 181.4433289 , 24.1481628 , 19.2736740
 59873.2374350510435761 , -1.8354501724243164 , 13 , 0.9779716 , 0.0152341 , 1.0874002 , 0.0163608 , 27.9029408 , 0.6194203156190550 , 1.1041327 , 0.0073480 , 1.1170913 , 0.0245814 , 74.2575684 , 11.3972988 , 8.9518433
 59873.2614413554911152 , -1.2580407857894897 , 13 , 0.9697933 , 0.0109569 , 1.0772464 , 0.0112895 , 29.4963474 , 0.1848554742073922 , 1.1033309 , 0.0061165 , 1.1228712 , 0.0041965 , 825.5256348 , 190.1004181 , 142.7474060
 59873.2672450402751565 , -1.1184933185577393 , 13 , 0.9779547 , 0.0187744 , 1.0962690 , 0.0203296 , 29.5909672 , 0.1775022538031471 , 1.1132892 , 0.0110510 , 1.1327037 , 0.0071408 , 487.8204651 , 96.7862244 , 71.4171829
 59873.2721750025666552 , -0.9956578016281128 , 13 , 0.9694102 , 0.0194418 , 1.0969950 , 0.0273290 , 28.8181744 , 0.2288096386483741 , 1.1202562 , 0.0181576 , 1.1361907 , 0.0087758 , 454.7197876 , 45.6957436 , 32.0722885
 59873.2783249073472689 , -0.8519322276115417 , 13 , 0.9763130 , 0.0143416 , 1.0919240 , 0.0159017 , 29.3380318 , 0.1612374541891173 , 1.1030573 , 0.0136026 , 1.1362835 , 0.0113107 , 579.4946899 , 117.5694809 , 86.6857376
 59873.2944830088308663 , -0.4625358283519745 , 13 , 0.9813993 , 0.0162642 , 1.0921208 , 0.0176963 , 28.4770660 , 0.1722854383102277 , 1.0917373 , 0.0083401 , 1.1403360 , 0.0050269 , 543.9581909 , 87.4269638 , 66.0712967
 59873.3002867401519325 , -0.3229880630970001 , 13 , 0.9840003 , 0.0187303 , 1.0807711 , 0.0297918 , 27.6204243 , 0.2062786446732432 , 1.0729635 , 0.0177767 , 1.1137936 , 0.0169111 , 397.4325562 , 63.9403458 , 55.4749756
 59873.3062883571983548 , -0.1784266680479050 , 13 , 0.9727032 , 0.0105796 , 1.0464585 , 0.0166524 , 26.4596157 , 0.2564131515652424 , 1.0623909 , 0.0120623 , 1.0976356 , 0.0178167 , 327.7416077 , 60.9105759 , 48.9588356
 59873.3110038857266773 , -0.0647830590605736 , 13 , 0.9746177 , 0.0172672 , 1.0336909 , 0.0151830 , 25.2076054 , 0.3106959159110813 , 1.0558255 , 0.0096172 , 1.0634059 , 0.0103726 , 196.2844849 , 27.1469021 , 22.8759956
 59873.3183244880201528 , 0.0413400009274483 , 13 , 0.9797317 , 0.0176608 , 0.9981216 , 0.0181527 , 23.9854279 , 0.2831039691229642 , 1.0271409 , 0.0054943 , 1.0111117 , 0.0185355 , 350.8178406 , 55.7924194 , 51.5171356
 59873.3271289670883561 , 0.3226636052131653 , 13 , 0.9735411 , 0.0118311 , 0.9695057 , 0.0114246 , 24.4577599 , 0.1185213819468452 , 1.0071210 , 0.0086538 , 0.9851586 , 0.0081784 , 639.7868652 , 117.0553818 , 112.7346115
 59873.3329327052269946 , 0.4622113704681396 , 13 , 0.9802746 , 0.0125962 , 0.9613839 , 0.0111201 , 23.5023403 , 0.1226065188397758 , 1.0033300 , 0.0077707 , 0.9591287 , 0.0116877 , 555.0861206 , 76.0755539 , 78.7421188
