MJD, HA, BASELINE, VisRatio_normed, visratio_normed_err, visratio_raw, visratio_raw_error, PhaseDiff, Phase_err, Tel1_ratio,tel1_ratio_err,tel2_ratio,tel2_ratio_err, snr12, vis2_1,vis2_2 
 59873.0983761759489425 , -5.1820831298828125 , 12 , 0.9725468 , 0.0079238 , 0.9758453 , 0.0185034 , 21.8762016 , 0.1493784874577078 , 0.9814299 , 0.0067481 , 1.0240217 , 0.0330675 , 2401.1254883 , 144.6183472 , 142.6388245
 59873.1034543206114904 , -5.0600838661193848 , 12 , 0.9869007 , 0.1021266 , 1.0260413 , 0.1048910 , 21.2516785 , 0.3865214521814346 , 0.9758474 , 0.0039663 , 1.1244529 , 0.0132532 , 293.4307556 , 26.4850140 , 24.7019768
 59873.1099504383309977 , -4.9038243293762207 , 12 , 0.9694759 , 0.0088676 , 0.9740843 , 0.0092635 , 21.8170166 , 0.1169554781954996 , 0.9867315 , 0.0081296 , 1.0182158 , 0.0107918 , 2046.4746094 , 181.8274841 , 178.3463898
 59873.1368590084966854 , -4.2562236785888672 , 12 , 0.9908662 , 0.0048543 , 1.0809288 , 0.0057719 , 20.6610355 , 0.2180248729518418 , 1.0875969 , 0.0068100 , 1.0913087 , 0.0043367 , 2753.0334473 , 344.5921936 , 281.0361938
 59873.1404863499774365 , -4.1684842109680176 , 12 , 0.9840152 , 0.0075062 , 1.0814835 , 0.0081520 , 20.6022682 , 0.1494231213447904 , 1.0951185 , 0.0103173 , 1.0991931 , 0.0068377 , 2702.7395020 , 333.3587646 , 270.6489868
 59873.1560509376504342 , -3.7941293716430664 , 12 , 0.9882323 , 0.0068340 , 1.0741377 , 0.0057773 , 20.4461212 , 0.1573096695261557 , 1.0859849 , 0.0049237 , 1.0867701 , 0.0066847 , 2327.7424316 , 303.8765564 , 249.4658203
 59873.1618546552781481 , -3.6545820236206055 , 12 , 0.9905250 , 0.0046690 , 1.0746037 , 0.0037151 , 20.0674362 , 0.1074428351353503 , 1.0857413 , 0.0045059 , 1.0848101 , 0.0041389 , 2677.1530762 , 286.1929016 , 238.1197968
 59873.1680870772543130 , -3.5041713714599609 , 12 , 0.9872354 , 0.0060827 , 1.0755626 , 0.0043045 , 20.6412525 , 0.2190360127755529 , 1.0893693 , 0.0070959 , 1.0879464 , 0.0041551 , 2353.7038574 , 326.0946045 , 269.6760254
 59873.1728026139462600 , -3.3913633823394775 , 12 , 0.9897576 , 0.0051653 , 1.0723931 , 0.0052163 , 20.8137474 , 0.1191395021606407 , 1.0838828 , 0.0057204 , 1.0847747 , 0.0042093 , 2440.7141113 , 296.0465088 , 244.6153259
 59873.1855971628829138 , -3.0830218791961670 , 12 , 0.9870426 , 0.0047788 , 1.0738424 , 0.0048238 , 20.3347912 , 0.1024631331491087 , 1.0859629 , 0.0077863 , 1.0910560 , 0.0039969 , 2348.5610352 , 360.8490601 , 295.8652344
 59873.1914009104002616 , -2.9434745311737061 , 12 , 0.9899756 , 0.0073229 , 1.0800858 , 0.0066094 , 19.7086773 , 0.1453415764274855 , 1.0900340 , 0.0060882 , 1.0871680 , 0.0039396 , 2385.1108398 , 344.5276489 , 280.1191406
 59873.1963308537160628 , -2.8214750289916992 , 12 , 0.9882438 , 0.0100918 , 1.0777813 , 0.0090101 , 19.7124672 , 0.1275464424872893 , 1.0865933 , 0.0060781 , 1.0913280 , 0.0053440 , 2287.6420898 , 271.5328674 , 222.2819061
 59873.2013925295905210 , -2.7028179168701172 , 12 , 0.9882790 , 0.0067214 , 1.0757940 , 0.0038196 , 20.2922192 , 0.1923024309535092 , 1.0853345 , 0.0045299 , 1.0915459 , 0.0078289 , 2938.5234375 , 435.0500183 , 352.3817444
 59873.2073281796183437 , -2.5599277019500732 , 12 , 0.9750593 , 0.0107945 , 1.0801790 , 0.0100177 , 20.0233021 , 0.1968751860685833 , 1.0889446 , 0.0057152 , 1.1276937 , 0.0071032 , 1118.8518066 , 151.3993835 , 120.1355667
 59873.2109554919297807 , -2.4730238914489746 , 12 , 0.9753416 , 0.0067536 , 1.0837158 , 0.0041648 , 20.2862988 , 0.3437036263224472 , 1.0915827 , 0.0076740 , 1.1301788 , 0.0079936 , 1330.4727783 , 174.0318146 , 140.7661438
 59873.2276412001810968 , -2.0710935592651367 , 12 , 0.9814871 , 0.0055930 , 1.0803436 , 0.0046266 , 20.0585270 , 0.1044308537194355 , 1.0871106 , 0.0048380 , 1.1119690 , 0.0070392 , 2935.1486816 , 344.2514343 , 274.9096069
 59873.2334449274785584 , -1.9315458536148071 , 12 , 0.9845732 , 0.0053495 , 1.0871171 , 0.0050091 , 20.4703808 , 0.1076849303811503 , 1.0981088 , 0.0057403 , 1.1113248 , 0.0055422 , 3165.9643555 , 384.7833862 , 316.1832886
 59873.2374350510435761 , -1.8354501724243164 , 12 , 0.9799519 , 0.0062650 , 1.0830048 , 0.0080012 , 20.0419121 , 0.2212119730220370 , 1.1041327 , 0.0073480 , 1.1145209 , 0.0084212 , 2354.5095215 , 323.0666809 , 259.9209900
 59873.2614413554911152 , -1.2580407857894897 , 12 , 0.9929351 , 0.0051221 , 1.0975494 , 0.0054802 , 20.0865765 , 0.1430017403621859 , 1.1033309 , 0.0061165 , 1.1073149 , 0.0041211 , 1758.7839355 , 344.3392944 , 270.3654785
 59873.2672450402751565 , -1.1184933185577393 , 12 , 0.9980739 , 0.0097890 , 1.1334684 , 0.0139777 , 19.6013775 , 0.2003807519645939 , 1.1132892 , 0.0110510 , 1.1682682 , 0.0245743 , 481.1446838 , 73.8571472 , 55.5433083
 59873.2721750025666552 , -0.9956578016281128 , 12 , 1.0019804 , 0.0127300 , 1.1436397 , 0.0365522 , 19.4941864 , 0.1175878084855824 , 1.1202562 , 0.0181576 , 1.1747178 , 0.0429497 , 301.8867798 , 37.5917282 , 26.5815754
 59873.2783249073472689 , -0.8519322276115417 , 12 , 0.9918851 , 0.0071747 , 1.0955906 , 0.0128073 , 19.2326984 , 0.1306682921748084 , 1.1030573 , 0.0136026 , 1.1104960 , 0.0082813 , 1518.6923828 , 251.9954987 , 197.7515564
 59873.2944830088308663 , -0.4625358283519745 , 12 , 0.9992244 , 0.0073219 , 1.1008704 , 0.0085624 , 19.3808918 , 0.1265617576612647 , 1.0917373 , 0.0083401 , 1.1204932 , 0.0041678 , 1171.4099121 , 185.6577148 , 147.4212341
 59873.3002867401519325 , -0.3229880630970001 , 12 , 0.9898503 , 0.0111705 , 1.0772600 , 0.0230376 , 19.8143902 , 0.1472952042126093 , 1.0729635 , 0.0177767 , 1.1037468 , 0.0181181 , 1342.0578613 , 214.6817780 , 172.0599365
 59873.3062883571983548 , -0.1784266680479050 , 12 , 0.9938550 , 0.0086890 , 1.0677693 , 0.0070456 , 19.5979519 , 0.1209837498258371 , 1.0623909 , 0.0120623 , 1.0825695 , 0.0070031 , 1341.4093018 , 193.7461548 , 163.3377686
 59873.3110038857266773 , -0.0647830590605736 , 12 , 0.9901249 , 0.0144045 , 1.0560969 , 0.0099104 , 19.2615337 , 0.2500066894004673 , 1.0558255 , 0.0096172 , 1.0787361 , 0.0062123 , 901.0358276 , 117.9116821 , 99.8864746
 59873.3183244880201528 , 0.0413400009274483 , 12 , 0.9971746 , 0.0070111 , 1.0292424 , 0.0089832 , 18.7234688 , 0.1910221902897420 , 1.0271409 , 0.0054943 , 1.0381260 , 0.0095881 , 1498.2132568 , 222.8577118 , 196.9865570
 59873.3271289670883561 , 0.3226636052131653 , 12 , 0.9928492 , 0.0047883 , 0.9994591 , 0.0065623 , 19.8341351 , 0.1440480272217248 , 1.0071210 , 0.0086538 , 1.0025828 , 0.0048569 , 1589.1090088 , 289.7025452 , 277.0680847
 59873.3329327052269946 , 0.4622113704681396 , 12 , 0.9924451 , 0.0097790 , 0.9916802 , 0.0073517 , 20.5733719 , 0.2506129918976827 , 1.0033300 , 0.0077707 , 0.9992989 , 0.0068217 , 810.0371094 , 89.4116440 , 84.9230957
 59873.3388684062083485 , 0.6051014065742493 , 12 , 0.9887480 , 0.0185538 , 0.9933946 , 0.0191984 , 21.0300293 , 0.3063530083562336 , 0.9968624 , 0.0066198 , 1.0044646 , 0.0078755 , 1215.6329346 , 221.9407654 , 213.8236542
