MJD, HA, BASELINE, VisRatio_normed, visratio_normed_err, visratio_raw, visratio_raw_error, PhaseDiff, Phase_err, Tel1_ratio,tel1_ratio_err,tel2_ratio,tel2_ratio_err, snr12, vis2_1,vis2_2 
 59873.0983761759489425 , -5.1820831298828125 , 8 , 0.8730204 , 0.0451324 , 0.9261971 , 0.0529730 , 123.1040573 , 0.8441814256106731 , 1.0620508 , 0.0149198 , 1.0846734 , 0.0225103 , 13.6691685 , 0.8850229 , 0.8821008
 59873.1034543206114904 , -5.0600838661193848 , 8 , 0.8499566 , 0.0275933 , 0.8987336 , 0.0303918 , 123.1703262 , 0.4408029060570920 , 1.0411587 , 0.0071795 , 1.0766376 , 0.0098636 , 36.3371658 , 2.8147876 , 3.3051114
 59873.1099504383309977 , -4.9038243293762207 , 8 , 0.8700235 , 0.0718269 , 0.9250277 , 0.0759865 , 123.1678772 , 0.4702870880058495 , 1.0384605 , 0.0059883 , 1.0963241 , 0.0121512 , 14.0079536 , 1.0003898 , 0.9999478
 59873.1368590084966854 , -4.2562236785888672 , 8 , 0.8760459 , 0.0180337 , 1.0007625 , 0.0217527 , 122.4005890 , 0.2064292948729679 , 1.1503357 , 0.0047149 , 1.1382796 , 0.0054653 , 100.4632416 , 13.8638983 , 13.1088848
 59873.1404863499774365 , -4.1684842109680176 , 8 , 0.8699217 , 0.0203031 , 0.9964138 , 0.0241528 , 122.9001083 , 0.2410606412806112 , 1.1435865 , 0.0094091 , 1.1451750 , 0.0123780 , 128.7979279 , 15.8495464 , 15.3444920
 59873.1560509376504342 , -3.7941293716430664 , 8 , 0.8675511 , 0.0215917 , 0.9723932 , 0.0234429 , 123.0614395 , 0.2308464077040712 , 1.1327415 , 0.0060776 , 1.1066675 , 0.0076927 , 85.4397659 , 11.1590328 , 9.6367846
 59873.1618546552781481 , -3.6545820236206055 , 8 , 0.8856646 , 0.0236991 , 0.9801672 , 0.0261169 , 123.1921387 , 0.3463172160380736 , 1.1293555 , 0.0045782 , 1.0959296 , 0.0091892 , 46.8274345 , 6.1020255 , 5.0486012
 59873.1680870772543130 , -3.5041713714599609 , 8 , 0.8682752 , 0.0325558 , 0.9763381 , 0.0351022 , 122.6573334 , 0.3802481583978164 , 1.1398684 , 0.0070625 , 1.1029575 , 0.0100452 , 57.3107147 , 10.3680706 , 9.5489683
 59873.1728026139462600 , -3.3913633823394775 , 8 , 0.8820482 , 0.0188271 , 0.9924552 , 0.0205676 , 122.9023056 , 0.3264685667229447 , 1.1447721 , 0.0062207 , 1.1083144 , 0.0075085 , 62.4861031 , 7.9462657 , 7.6000943
 59873.1855971628829138 , -3.0830218791961670 , 8 , 0.8744268 , 0.0153743 , 0.9730874 , 0.0188778 , 122.8657684 , 0.1072210248132584 , 1.1464049 , 0.0039872 , 1.1044449 , 0.0089750 , 180.0059204 , 30.3627758 , 25.6283989
 59873.1914009104002616 , -2.9434745311737061 , 8 , 0.8660469 , 0.0191237 , 0.9782884 , 0.0191655 , 122.8824158 , 0.1810472901582663 , 1.1438267 , 0.0060200 , 1.1137633 , 0.0068345 , 231.0893555 , 31.5526638 , 28.8184357
 59873.1963308537160628 , -2.8214750289916992 , 8 , 0.8644727 , 0.0218655 , 0.9743601 , 0.0223966 , 122.3368530 , 0.2323844343808764 , 1.1494149 , 0.0079033 , 1.1081815 , 0.0054756 , 170.8309021 , 22.4407616 , 20.7542515
 59873.2013925295905210 , -2.7028179168701172 , 8 , 0.8725763 , 0.0129148 , 0.9898182 , 0.0159527 , 122.5461578 , 0.1751776431830208 , 1.1517755 , 0.0052722 , 1.1023810 , 0.0121033 , 169.6378479 , 23.5043468 , 23.7273121
 59873.2073281796183437 , -2.5599277019500732 , 8 , 0.8763878 , 0.0169430 , 0.9931670 , 0.0198507 , 122.5129471 , 0.2420247424522958 , 1.1697189 , 0.0033247 , 1.1211158 , 0.0082295 , 192.6895142 , 21.6243057 , 20.8967819
 59873.2109554919297807 , -2.4730238914489746 , 8 , 0.8951539 , 0.0181544 , 1.0251484 , 0.0215237 , 122.2545853 , 0.2470450693260237 , 1.1683128 , 0.0064122 , 1.1353483 , 0.0105320 , 160.0879974 , 19.9539280 , 17.9515381
