MJD, HA, BASELINE, VisRatio_normed, visratio_normed_err, visratio_raw, visratio_raw_error, PhaseDiff, Phase_err, Tel1_ratio,tel1_ratio_err,tel2_ratio,tel2_ratio_err, snr12, vis2_1,vis2_2 
 59874.1081696907640435 , -4.8804540634155273 , 4 , 0.9174821 , 0.0241859 , 1.0716735 , 0.0246906 , 60.0845566 , 0.2487027056720784 , 1.1673648 , 0.0148237 , 1.1675354 , 0.0072599 , 46.8316841 , 4.9944654 , 4.3962049
 59874.1146328763934434 , -4.7250299453735352 , 4 , 0.9116607 , 0.0303848 , 1.0507993 , 0.0358159 , 58.2453918 , 0.2335269147131142 , 1.1546595 , 0.0129578 , 1.1644573 , 0.0085556 , 125.9553528 , 15.7387581 , 13.5873785
 59874.1189856504643103 , -4.6205782890319824 , 4 , 0.9040266 , 0.0297200 , 1.0435853 , 0.0313020 , 58.5890312 , 0.5123515386529855 , 1.1536068 , 0.0163820 , 1.1544032 , 0.0079544 , 121.6274567 , 11.4403410 , 9.5295792
 59874.1240639546740567 , -4.4985785484313965 , 4 , 0.8815290 , 0.0243935 , 1.0084652 , 0.0272242 , 59.0009880 , 0.4151402141620290 , 1.1368433 , 0.0115999 , 1.1337796 , 0.0084704 , 111.1931076 , 11.5493917 , 9.8757114
 59874.1273284906565095 , -4.4200305938720703 , 4 , 0.9053698 , 0.0279426 , 1.0344464 , 0.0299555 , 58.7371178 , 0.4597915589838127 , 1.1392286 , 0.0153419 , 1.1448728 , 0.0072377 , 71.4019775 , 7.6008472 , 6.2784553
 59874.1395955094631063 , -4.1242237091064453 , 4 , 0.8765519 , 0.0214422 , 0.9953901 , 0.0242901 , 58.2741127 , 0.3006642169617428 , 1.1102589 , 0.0263037 , 1.1366102 , 0.0109995 , 155.1365814 , 27.1537437 , 24.4136715
 59874.1457619909997447 , -3.9763202667236328 , 4 , 0.8764103 , 0.0102036 , 0.9996948 , 0.0130938 , 58.6946144 , 0.2413086796213973 , 1.1482350 , 0.0122435 , 1.1360214 , 0.0081851 , 198.3517151 , 27.2168922 , 22.3424931
 59874.1504774972709129 , -3.8626766204833984 , 4 , 0.8733463 , 0.0202888 , 0.9975478 , 0.0204680 , 58.2404861 , 0.3244789901075998 , 1.1346310 , 0.0068418 , 1.1383420 , 0.0087228 , 243.8521881 , 39.7854385 , 34.1020622
 59874.1553248938944307 , -3.7456908226013184 , 4 , 0.8880775 , 0.0147882 , 0.9975639 , 0.0138570 , 58.6663895 , 0.2573873940566723 , 1.1260732 , 0.0101936 , 1.1302655 , 0.0079114 , 142.0263214 , 20.1551380 , 17.7432079
 59874.1589522689027945 , -3.6587870121002197 , 4 , 0.8738413 , 0.0091862 , 0.9879062 , 0.0103583 , 58.5127792 , 0.2920721621842418 , 1.1278956 , 0.0114273 , 1.1263459 , 0.0121276 , 160.8674469 , 20.4577999 , 19.6359138
 59874.1848382511525415 , -3.0359761714935303 , 4 , 0.8827188 , 0.0110894 , 1.0076916 , 0.0133991 , 57.8614464 , 0.2202110274508811 , 1.1532238 , 0.0082715 , 1.1297103 , 0.0088321 , 359.2253723 , 63.1783409 , 50.0586586
 59874.1909387255509500 , -2.8889079093933105 , 4 , 0.8727913 , 0.0086514 , 1.0209618 , 0.0092934 , 58.0020676 , 0.2747301012627918 , 1.1708285 , 0.0102871 , 1.1652106 , 0.0151176 , 257.3088074 , 42.9219551 , 33.3456192
 59874.1956541995459702 , -2.7752647399902344 , 4 , 0.8901384 , 0.0183889 , 1.0395570 , 0.0218080 , 58.8407021 , 0.3225111882944886 , 1.1672112 , 0.0150494 , 1.1595080 , 0.0151254 , 315.8566284 , 34.9290581 , 28.2333546
 59874.2018536995019531 , -2.6265254020690918 , 4 , 0.8820387 , 0.0179354 , 1.0272511 , 0.0202517 , 58.0296669 , 0.3165112815180460 , 1.1656219 , 0.0163093 , 1.1598364 , 0.0126753 , 170.9981384 , 26.2031269 , 20.1412430
 59874.2180777139365091 , -2.2354581356048584 , 4 , 0.8669987 , 0.0077277 , 0.9797702 , 0.0096768 , 57.1685982 , 0.2912191177203666 , 1.1373999 , 0.0056040 , 1.1284343 , 0.0076373 , 379.7856750 , 59.2667656 , 53.4649925
 59874.2241453125825501 , -2.0900609493255615 , 4 , 0.8720024 , 0.0177073 , 0.9932986 , 0.0203359 , 57.4590607 , 0.1713061184528113 , 1.1459061 , 0.0117581 , 1.1536037 , 0.0175583 , 424.8507080 , 53.8315353 , 44.1410484
 59874.2284980369950063 , -1.9847738742828369 , 4 , 0.8674681 , 0.0052227 , 1.0031036 , 0.0092138 , 57.2630539 , 0.3026765363285502 , 1.1471126 , 0.0068530 , 1.1590440 , 0.0090247 , 382.5110779 , 66.0291977 , 53.3201942
 59874.2493387683061883 , -1.4834053516387939 , 4 , 0.9209361 , 0.0055426 , 1.0569571 , 0.0082243 , 56.9664841 , 0.3035989143858837 , 1.1548047 , 0.0068135 , 1.1424520 , 0.0092463 , 885.1004639 , 145.3394012 , 134.1069641
 59874.2529660500731552 , -1.3965014219284058 , 4 , 0.9041361 , 0.0228417 , 1.0476279 , 0.0220765 , 57.8944626 , 0.2672618179172502 , 1.1628842 , 0.0087347 , 1.1545426 , 0.0071499 , 549.3331909 , 61.3217926 , 54.5158272
 59874.2705091268871911 , -0.9739588499069214 , 4 , 0.8538191 , 0.0182535 , 1.0036873 , 0.0193798 , 57.5111122 , 0.2439819043277275 , 1.1703984 , 0.0061845 , 1.1741326 , 0.0052308 , 231.2842865 , 23.7778397 , 21.0617924
 59874.2734110073579359 , -0.9037672281265259 , 4 , 0.8516194 , 0.0435937 , 1.0010808 , 0.0505136 , 57.4570847 , 0.3254658189913847 , 1.1707591 , 0.0080370 , 1.1696441 , 0.0062796 , 174.7565155 , 19.6168156 , 17.2672749
 59874.2847546296979999 , -0.6313569545745850 , 4 , 0.9040973 , 0.0191086 , 1.0560788 , 0.0232408 , 57.4665642 , 0.1619792715100012 , 1.1666675 , 0.0060874 , 1.1745956 , 0.0090225 , 382.9394531 , 46.1229019 , 40.5196381
 59874.2910860307965777 , -0.4784394502639771 , 4 , 0.9036776 , 0.0278115 , 1.0452166 , 0.0372491 , 57.6970978 , 0.2866670054151318 , 1.1522423 , 0.0062122 , 1.1578108 , 0.0127792 , 454.3023376 , 58.8498650 , 53.5671272
 59874.2954388319267309 , -0.3739877939224243 , 4 , 0.9019599 , 0.0161498 , 1.0325831 , 0.0183661 , 57.5926514 , 0.2698114159720317 , 1.1403390 , 0.0088030 , 1.1493595 , 0.0114853 , 399.1140747 , 45.6606827 , 41.0481987
 59874.3231818883359665 , 0.2933900058269501 , 4 , 0.9043487 , 0.0129325 , 0.9223747 , 0.0198404 , 61.6981544 , 0.2852159368938421 , 1.0029712 , 0.0109234 , 1.0096096 , 0.0201541 , 95.3390274 , 8.0434971 , 8.6382332
 59874.3294668962262222 , 0.4446364045143127 , 4 , 0.9420361 , 0.0119668 , 0.9175033 , 0.0101154 , 64.8101120 , 0.2688749690776099 , 0.9796810 , 0.0075327 , 0.9655908 , 0.0108819 , 521.8153687 , 85.4715958 , 95.7322693
 59874.3361937962326920 , 0.6067456007003784 , 4 , 0.9378911 , 0.0120697 , 0.9294107 , 0.0098202 , 64.3386230 , 0.3231757046283924 , 1.0059510 , 0.0091424 , 0.9723507 , 0.0101070 , 619.2661743 , 138.3171997 , 157.9405365
 59874.3436130930349464 , 0.7855672240257263 , 4 , 0.9314018 , 0.0106057 , 0.8977782 , 0.0097022 , 63.5538750 , 0.1879081194701071 , 0.9637336 , 0.0067064 , 0.9711403 , 0.0054281 , 787.8237915 , 101.4231186 , 114.7150955
 59874.3485263308393769 , 0.9033891558647156 , 4 , 0.9112872 , 0.0131158 , 0.8963819 , 0.0071290 , 62.4585724 , 0.3726590547371441 , 0.9839609 , 0.0084659 , 0.9900621 , 0.0103609 , 841.6847534 , 103.4381714 , 116.5632324
