MJD, HA, BASELINE, VisRatio_normed, visratio_normed_err, visratio_raw, visratio_raw_error, PhaseDiff, Phase_err, Tel1_ratio,tel1_ratio_err,tel2_ratio,tel2_ratio_err, snr12, vis2_1,vis2_2 
 59874.1081696907640435 , -4.8804540634155273 , 5 , 0.9677910 , 0.0075730 , 1.0842875 , 0.0084890 , 85.9345398 , 0.1268448211106109 , 1.1192822 , 0.0098494 , 1.1240311 , 0.0151735 , 1058.7982178 , 100.9938736 , 78.6854477
 59874.1146328763934434 , -4.7250299453735352 , 5 , 0.9700298 , 0.0071650 , 1.1022382 , 0.0055683 , 86.3026581 , 0.1196376401206182 , 1.1482134 , 0.0169642 , 1.1234761 , 0.0214314 , 2317.0451660 , 312.2505798 , 223.4864960
 59874.1189856504643103 , -4.6205782890319824 , 5 , 0.9721101 , 0.0094897 , 1.0978571 , 0.0122354 , 86.5298462 , 0.1550021319986035 , 1.1493769 , 0.0087151 , 1.1210132 , 0.0071223 , 2625.8674316 , 250.2077789 , 179.7118225
 59874.1240639546740567 , -4.4985785484313965 , 5 , 0.9676148 , 0.0078483 , 1.1055025 , 0.0090753 , 86.6743698 , 0.0764258555424287 , 1.1478790 , 0.0068916 , 1.1307602 , 0.0071831 , 2125.2912598 , 253.1434784 , 180.1832428
 59874.1276912917528534 , -4.4108390808105469 , 5 , 0.9699265 , 0.0076554 , 1.1054661 , 0.0065488 , 86.9794846 , 0.1897042013815159 , 1.1431688 , 0.0037803 , 1.1377387 , 0.0067084 , 1683.7996826 , 177.0317230 , 126.7623749
 59874.1395955094631063 , -4.1242237091064453 , 5 , 0.9698655 , 0.0044295 , 1.0880854 , 0.0042824 , 85.8346786 , 0.0924674595041252 , 1.1276563 , 0.0054820 , 1.1126920 , 0.0068655 , 2031.2060547 , 332.5870056 , 251.6191864
 59874.1457619909997447 , -3.9763202667236328 , 5 , 0.9704751 , 0.0049881 , 1.0969336 , 0.0087640 , 85.5655594 , 0.0982172266994005 , 1.1572529 , 0.0222107 , 1.1066500 , 0.0087821 , 2255.6030273 , 342.1371460 , 250.4266510
 59874.1504774972709129 , -3.8626766204833984 , 5 , 0.9673495 , 0.0061018 , 1.0969057 , 0.0073808 , 85.6090546 , 0.0807984981582330 , 1.1641569 , 0.0076131 , 1.1079229 , 0.0039959 , 2427.3740234 , 353.9336853 , 244.6041718
 59874.1553248938944307 , -3.7456908226013184 , 5 , 0.9679438 , 0.0045774 , 1.1031765 , 0.0053480 , 85.8964233 , 0.1110021078695975 , 1.1665474 , 0.0086904 , 1.1117609 , 0.0057254 , 1978.7498779 , 213.4491577 , 153.5397491
 59874.1589522689027945 , -3.6587870121002197 , 5 , 0.9725053 , 0.0076033 , 1.1091825 , 0.0057441 , 85.3680038 , 0.1359767127855155 , 1.1638329 , 0.0061356 , 1.1193535 , 0.0085711 , 1401.4104004 , 160.1955261 , 113.3613205
